Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.9,0.0900000036,1.0816895926,0.09,-2.683,3.4028,4.638,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.22e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.477,13.524,16.275,12.05
0.0152,0.01508,7.9,0.0900000036,1.0816895926,0.09,-2.683,3.4028,4.638,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.22e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.477,13.524,16.275,12.05
0.0152,0.01508,7.9,0.0977110639,1.1516965963,0.098,-2.621,3.4108,4.644,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.64e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.322,13.37,16.122,11.896
0.0152,0.01508,7.9,0.1000000015,1.1711064122,0.1,-2.603,3.4132,4.646,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.78e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.277,13.325,16.077,11.85
0.0152,0.01508,7.9,0.1065523103,1.2236200247,0.107,-2.558,3.4189,4.651,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.1e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.166,13.184,15.9,11.716
0.0152,0.01508,7.9,0.1180470064,1.3063061834,0.118,-2.482,3.4288,4.659,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.71e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.975,12.856,15.398,11.419
0.0152,0.01508,7.9,0.1200000122,1.3193155232,0.12,-2.47,3.4304,4.66,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.82e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.944,12.8,15.313,11.37
0.0152,0.01508,7.9,0.1294073164,1.3783342789,0.129,-2.419,3.4364,4.666,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.25e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.818,12.597,15.018,11.184
0.0152,0.01508,7.9,0.1400000006,1.4384526719,0.14,-2.365,3.4425,4.671,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.78e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.681,12.381,14.708,10.987
0.0152,0.01508,7.9,0.1599999964,1.5372931554,0.16,-2.273,3.4531,4.68,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.75e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.453,12.02,14.186,10.659
0.0152,0.01508,7.9,0.1756587327,1.6040905584,0.176,-2.211,3.4601,4.685,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.49e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.297,11.776,13.832,10.438
0.0152,0.01508,7.9,0.200000003,1.6938790862,0.2,-2.122,3.4698,4.692,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.69e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.074,11.444,13.366,10.137
0.0152,0.01508,7.9,0.25,1.8403257998,0.25,-1.974,3.485,4.702,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.21e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.704,10.909,12.631,9.653
0.0152,0.01508,7.9,0.3000000119,1.9529139769,0.3,-1.853,3.4966,4.707,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.44e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.404,10.496,12.084,9.278
0.0152,0.01508,7.9,0.3500000238,2.0434175133,0.35,-1.746,3.5064,4.705,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.71e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.134,10.145,11.639,8.955
0.0152,0.01508,7.9,0.4000000358,2.118502481,0.4,-1.641,3.5164,4.699,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.05e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.872,9.806,11.212,8.645
