Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.6,0.0900000036,1.0816895926,0.09,-2.471,3.4038,4.43,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.74e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.947,12.991,15.684,11.523
0.0152,0.01508,7.6,0.0900000036,1.0816895926,0.09,-2.471,3.4038,4.43,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.74e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.947,12.991,15.684,11.523
0.0152,0.01508,7.6,0.0937449038,1.116623647,0.094,-2.443,3.4071,4.434,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.08e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.879,12.923,15.617,11.455
0.0152,0.01508,7.6,0.1000000015,1.1711064122,0.1,-2.398,3.4124,4.437,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.73e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.764,12.809,15.504,11.34
0.0152,0.01508,7.6,0.1077766791,1.2329678989,0.108,-2.347,3.4182,4.442,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.05e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.638,12.659,15.327,11.196
0.0152,0.01508,7.6,0.1200000122,1.3193155232,0.12,-2.272,3.4269,4.448,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.17e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.449,12.357,14.885,10.919
0.0152,0.01508,7.6,0.1400000006,1.4384526719,0.14,-2.166,3.4389,4.458,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.37e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.186,11.931,14.27,10.531
0.0152,0.01508,7.6,0.1599999964,1.5372931554,0.16,-2.077,3.4489,4.467,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.56e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.963,11.583,13.776,10.213
0.0152,0.01508,7.6,0.2164408565,1.7468504696,0.216,-1.879,3.4701,4.485,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.07e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.468,10.838,12.734,9.536
0.0152,0.01508,7.6,0.2448002398,1.8269460784,0.245,-1.799,3.4783,4.492,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.31e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.269,10.551,12.342,9.274
0.0152,0.01508,7.6,0.2688146532,1.8858732252,0.269,-1.74,3.4844,4.497,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.51e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.121,10.337,12.05,9.081
0.0152,0.01508,7.6,0.2785074711,1.9077508797,0.278,-1.718,3.4867,4.5,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.58e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.066,10.256,11.94,9.009
0.0152,0.01508,7.6,0.2899281383,1.9322918607,0.29,-1.691,3.4893,4.501,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.7e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.998,10.16,11.81,8.922
0.0152,0.01508,7.6,0.3000000119,1.9529139769,0.3,-1.669,3.4916,4.502,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.79e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.942,10.083,11.709,8.852
0.0152,0.01508,7.6,0.3114700019,1.9753295689,0.311,-1.645,3.4939,4.504,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.89e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.883,10.005,11.608,8.78
0.0152,0.01508,7.6,0.3500000238,2.0434175133,0.35,-1.571,3.5011,4.51,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.21e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.698,9.76,11.297,8.555
0.0152,0.01508,7.6,0.3761132956,2.0842526827,0.376,-1.524,3.5059,4.513,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.44e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.58,9.605,11.101,8.413
0.0152,0.01508,7.6,0.4000000358,2.118502481,0.4,-1.484,3.5099,4.515,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.65e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.479,9.472,10.934,8.292
