Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,9.70001,0.0900000036,1.0816895926,0.09,-3.424,3.3623,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7086,0.2761,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.311,13.892
0.0152,0.01508,9.70001,0.0900000036,1.0816895926,0.09,-3.424,3.3623,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7086,0.2761,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.311,13.892
0.0152,0.01508,9.70001,0.1000000015,1.1711064122,0.1,-3.241,3.3881,5.184,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.84e-17,0.0,0.7084,0.2763,0.002746,0.0007408,0.006719,-1.0,0.01527,12.874,14.926,17.84,13.436
0.0152,0.01508,9.70001,0.1151489839,1.2864773798,0.115,-3.037,3.415,5.148,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.08e-17,0.0,0.7081,0.2766,0.002746,0.0007408,0.006719,-1.0,0.01527,12.362,14.413,17.312,12.924
0.0152,0.01508,9.70001,0.1200000122,1.3193155232,0.12,-2.977,3.4229,5.138,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.03e-16,0.0,0.708,0.2767,0.002746,0.0007408,0.006719,-1.0,0.01527,12.212,14.184,16.97,12.714
0.0152,0.01508,9.70001,0.1400000006,1.4384526719,0.14,-2.793,3.4432,5.102,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.52e-16,0.0,0.7076,0.2771,0.002746,0.0007408,0.006719,-1.0,0.01527,11.753,13.449,15.862,12.044
0.0152,0.01508,9.70001,0.154823944,1.5133176468,0.155,-2.687,3.4534,5.08,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.89e-16,0.0,0.7074,0.2774,0.002746,0.0007408,0.006719,-1.0,0.01527,11.487,13.052,15.289,11.681
0.0152,0.01508,9.70001,0.1599999964,1.5372931554,0.16,-2.652,3.4567,5.073,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.04e-16,0.0,0.7073,0.2774,0.002746,0.0007408,0.006719,-1.0,0.01527,11.401,12.923,15.101,11.564
0.0152,0.01508,9.70001,0.200000003,1.6938790862,0.2,-2.436,3.4755,5.029,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.16e-16,0.0,0.7066,0.2781,0.002746,0.0007408,0.006719,-1.0,0.01527,10.859,12.163,14.049,10.868
0.0152,0.01508,9.70001,0.25,1.8403257998,0.25,-2.229,3.4919,4.985,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.77e-16,0.0,0.706,0.2787,0.002746,0.0007408,0.006719,-1.0,0.01527,10.342,11.47,13.125,10.234
0.0152,0.01508,9.70001,0.3000000119,1.9529139769,0.3,-2.067,3.5027,4.945,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.87e-16,0.0,0.7058,0.279,0.002746,0.0007408,0.006719,-1.0,0.01527,9.938,10.97,12.506,9.768
0.0152,0.01508,9.70001,0.3054108918,1.963624695,0.305,-2.05,3.5037,4.939,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.23e-16,0.0,0.7062,0.2785,0.002746,0.0007408,0.006719,-1.0,0.01527,9.894,10.917,12.444,9.719
0.0152,0.01508,9.70001,0.3500000238,2.0434175133,0.35,-1.912,3.5113,4.891,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.31e-16,0.0,0.709,0.2757,0.002746,0.0007408,0.006719,-1.0,0.01527,9.551,10.512,11.963,9.337
0.0152,0.01508,9.70001,0.370464623,2.0757381694,0.37,-1.851,3.516,4.874,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.06e-15,0.0,0.7091,0.2757,0.002746,0.0007408,0.006719,-1.0,0.01527,9.398,10.323,11.731,9.162
0.0152,0.01508,9.70001,0.4000000358,2.118502481,0.4,-1.769,3.5224,4.85,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.27e-15,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,9.192,10.069,11.422,8.928
0.0152,0.01508,9.70001,0.4500000477,2.1822809714,0.45,-1.62,3.5345,4.801,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.79e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.819,9.614,10.874,8.507
0.0152,0.01508,9.70001,0.5,2.2374541529,0.5,-1.464,3.5494,4.751,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.57e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.43,9.132,10.292,8.066
0.0152,0.01508,9.70001,0.5241655707,2.261050801,0.524,-1.381,3.5589,4.726,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.13e-15,0.0,0.7147,0.2703,0.002697,0.0007277,0.0066,-1.0,0.01501,8.223,8.866,9.966,7.827
0.0152,0.01508,9.70001,0.5500000119,2.2836582633,0.55,-1.296,3.5686,4.701,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.82e-15,0.0,0.7209,0.2644,0.002642,0.0007129,0.006466,-1.0,0.0147,8.01,8.593,9.633,7.584
0.0152,0.01508,9.70001,0.6000000238,2.3211213258,0.6,-1.129,3.5924,4.667,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.59e-15,0.0,0.7226,0.2627,0.002627,0.000709,0.006431,-1.0,0.01467,7.593,8.042,8.954,7.1
0.0152,0.01508,9.70001,0.6499999762,2.3520353107,0.65,-0.96,3.621,4.647,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.1e-15,0.0,0.7243,0.2611,0.002614,0.0007053,0.006398,-1.0,0.01458,7.171,7.481,8.266,6.615
0.0152,0.01508,9.70001,0.7000000477,2.3779267258,0.7,-0.798,3.6505,4.635,1.0,0.0,0.544,0.0,0.0,0.0,0.0,0.0,-1.0,-1.15e-14,0.0,0.7259,0.2597,0.002601,0.000702,0.006369,-1.0,0.01446,6.764,6.93,7.584,6.151
0.0152,0.01508,9.70001,0.728186667,2.3907338097,0.728,-0.708,3.667,4.629,1.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1.0,-1.4e-14,0.0,0.7268,0.2588,0.002573,0.0006993,0.00635,-1.0,0.01442,6.541,6.634,7.222,5.902
0.0152,0.01508,9.70001,0.75,2.3998889087,0.75,-0.641,3.6794,4.624,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.61e-14,0.0,0.7275,0.2581,0.002552,0.0006974,0.006337,-1.0,0.01442,6.373,6.417,6.963,5.719
0.0152,0.01508,9.70001,0.7911702394,2.4155967998,0.791,-0.522,3.6974,4.6,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.13e-14,0.0,0.7295,0.2562,0.002536,0.000693,0.006298,-1.0,0.01433,6.075,6.063,6.554,5.411
0.0152,0.01508,9.70001,0.8000000119,2.4187244405,0.8,-0.497,3.7012,4.595,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.25e-14,0.0,0.7299,0.2558,0.002533,0.0006921,0.00629,-1.0,0.01432,6.012,5.99,6.47,5.348
0.0152,0.01508,9.70001,0.8054250479,2.4206070078,0.805,-0.482,3.7034,4.591,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.33e-14,0.0,0.7302,0.2555,0.002531,0.0006914,0.006284,-1.0,0.0143,5.974,5.946,6.42,5.309
0.0152,0.01508,9.70001,0.8432307839,2.4329564223,0.843,-0.375,3.7188,4.566,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-3e-14,0.0,0.7324,0.2534,0.002513,0.0006868,0.006242,-1.0,0.01421,5.708,5.645,6.079,5.044
0.0152,0.01508,9.70001,0.8500000238,2.435034684,0.849,-0.357,3.7215,4.562,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-3.13e-14,0.0,0.7327,0.2531,0.00251,0.000686,0.006234,-1.0,0.0142,5.662,5.593,6.021,4.997
0.0152,0.01508,9.70001,0.8592671752,2.4378188698,0.859,-0.331,3.7249,4.555,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-3.33e-14,0.0,0.7334,0.2525,0.002505,0.0006845,0.006221,-1.0,0.01417,5.597,5.522,5.942,4.934
0.0152,0.01508,9.70001,0.8922670484,2.4471954223,0.891,-0.24,3.7369,4.528,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-4.15e-14,0.0,0.7357,0.2502,0.002485,0.0006793,0.006175,-1.0,0.01402,5.371,5.275,5.667,4.714
0.0152,0.01508,9.70001,0.9000000358,2.4492786175,0.899,-0.219,3.7396,4.522,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-4.37e-14,0.0,0.7363,0.2497,0.002481,0.0006781,0.006164,-1.0,0.014,5.318,5.218,5.604,4.663
0.0152,0.01508,9.70001,0.9016757011,2.4497246128,0.901,-0.215,3.7402,4.52,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-4.42e-14,0.0,0.7364,0.2496,0.00248,0.0006778,0.006161,-1.0,0.014,5.306,5.206,5.59,4.652
0.0152,0.01508,9.70001,0.9204216003,2.4545869888,0.92,-0.163,3.7463,4.502,1.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,-1.0,-5.03e-14,0.0,0.7381,0.248,0.002466,0.0006741,0.006128,-1.0,0.01392,5.178,5.071,5.44,4.532
