Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.8,0.0900000036,1.0816895926,0.09,-2.61,3.4036,4.569,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.4e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.296,13.344,16.077,11.871
0.0152,0.01508,7.8,0.0900000036,1.0816895926,0.09,-2.61,3.4036,4.569,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.4e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.296,13.344,16.077,11.871
0.0152,0.01508,7.8,0.0938137621,1.1172489299,0.094,-2.581,3.4073,4.572,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.64e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.222,13.271,16.005,11.798
0.0152,0.01508,7.8,0.1000000015,1.1711064122,0.1,-2.534,3.4134,4.577,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.06e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.104,13.152,15.887,11.679
0.0152,0.01508,7.8,0.1102682352,1.2515711098,0.11,-2.465,3.4217,4.584,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.71e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.932,12.917,15.574,11.458
0.0152,0.01508,7.8,0.1200000122,1.3193155232,0.12,-2.403,3.4296,4.59,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.35e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.778,12.646,15.159,11.214
0.0152,0.01508,7.8,0.1400000006,1.4384526719,0.14,-2.298,3.4417,4.601,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.57e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.515,12.226,14.552,10.831
0.0152,0.01508,7.8,0.1599999964,1.5372931554,0.16,-2.207,3.4519,4.609,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.79e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.288,11.87,14.043,10.507
0.0152,0.01508,7.8,0.200000003,1.6938790862,0.2,-2.058,3.4683,4.622,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.22e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.915,11.303,13.237,9.992
0.0152,0.01508,7.8,0.2164848149,1.7469850257,0.216,-2.006,3.4736,4.626,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.31e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.785,11.115,12.98,9.821
