Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,9.60001,0.0900000036,1.0816895926,0.09,-3.424,3.3622,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7087,0.276,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.311,13.893
0.0152,0.01508,9.60001,0.0900000036,1.0816895926,0.09,-3.424,3.3622,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7087,0.276,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.311,13.893
0.0152,0.01508,9.60001,0.1000000015,1.1711064122,0.1,-3.242,3.3881,5.184,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.84e-17,0.0,0.7086,0.2761,0.002746,0.0007408,0.006719,-1.0,0.01527,12.874,14.926,17.841,13.436
0.0152,0.01508,9.60001,0.1200000122,1.3193155232,0.12,-2.977,3.4229,5.138,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.03e-16,0.0,0.7082,0.2765,0.002746,0.0007408,0.006719,-1.0,0.01527,12.213,14.185,16.973,12.715
0.0152,0.01508,9.60001,0.1204408184,1.322213777,0.12,-2.973,3.4233,5.137,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.04e-16,0.0,0.7082,0.2765,0.002746,0.0007408,0.006719,-1.0,0.01527,12.202,14.167,16.945,12.699
0.0152,0.01508,9.60001,0.1400000006,1.4384526719,0.14,-2.794,3.4431,5.102,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.52e-16,0.0,0.708,0.2768,0.002746,0.0007408,0.006719,-1.0,0.01527,11.754,13.45,15.864,12.046
0.0152,0.01508,9.60001,0.1599999964,1.5372931554,0.16,-2.653,3.4567,5.073,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.03e-16,0.0,0.7077,0.2771,0.002746,0.0007408,0.006719,-1.0,0.01527,11.401,12.924,15.104,11.565
0.0152,0.01508,9.60001,0.1624717265,1.548389332,0.162,-2.638,3.458,5.07,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.1e-16,0.0,0.7076,0.2771,0.002746,0.0007408,0.006719,-1.0,0.01527,11.364,12.871,15.027,11.516
0.0152,0.01508,9.60001,0.200000003,1.6938790862,0.2,-2.436,3.4754,5.029,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.15e-16,0.0,0.7072,0.2776,0.002746,0.0007408,0.006719,-1.0,0.01527,10.861,12.166,14.053,10.871
0.0152,0.01508,9.60001,0.25,1.8403257998,0.25,-2.231,3.4918,4.986,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.74e-16,0.0,0.7067,0.278,0.002746,0.0007408,0.006719,-1.0,0.01527,10.348,11.476,13.132,10.239
0.0152,0.01508,9.60001,0.3000000119,1.9529139769,0.3,-2.071,3.5027,4.949,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.47e-16,0.0,0.7064,0.2783,0.002746,0.0007408,0.006719,-1.0,0.01527,9.948,10.979,12.516,9.777
0.0152,0.01508,9.60001,0.3438603282,2.0332384265,0.344,-1.932,3.5103,4.9,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.89e-16,0.0,0.7089,0.2758,0.002746,0.0007408,0.006719,-1.0,0.01527,9.601,10.57,12.03,9.391
0.0152,0.01508,9.60001,0.3500000238,2.0434175133,0.35,-1.914,3.5112,4.893,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.26e-16,0.0,0.7091,0.2757,0.002746,0.0007408,0.006719,-1.0,0.01527,9.555,10.516,11.967,9.341
0.0152,0.01508,9.60001,0.4000000358,2.118502481,0.4,-1.771,3.5224,4.853,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.26e-15,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,9.198,10.075,11.427,8.933
0.0152,0.01508,9.60001,0.4500000477,2.1822809714,0.45,-1.622,3.5345,4.803,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.78e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.825,9.62,10.881,8.513
0.0152,0.01508,9.60001,0.5,2.2374541529,0.5,-1.467,3.5493,4.753,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.55e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.437,9.139,10.3,8.073
0.0152,0.01508,9.60001,0.528211832,2.2647598815,0.528,-1.372,3.5602,4.725,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.19e-15,0.0,0.7142,0.2707,0.002701,0.0007287,0.006609,-1.0,0.01502,8.199,8.834,9.925,7.799
0.0152,0.01508,9.60001,0.5500000119,2.2836582633,0.55,-1.301,3.5683,4.704,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.76e-15,0.0,0.7185,0.2666,0.002663,0.0007184,0.006516,-1.0,0.01482,8.023,8.607,9.649,7.597
0.0152,0.01508,9.60001,0.6000000238,2.3211213258,0.6,-1.135,3.5917,4.67,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.49e-15,0.0,0.72,0.2653,0.002651,0.0007153,0.006488,-1.0,0.01476,7.609,8.06,8.976,7.117
0.0152,0.01508,9.60001,0.6499999762,2.3520353107,0.65,-0.969,3.6199,4.651,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.91e-15,0.0,0.7213,0.264,0.00264,0.0007123,0.006462,-1.0,0.01471,7.192,7.507,8.296,6.638
0.0152,0.01508,9.60001,0.7000000477,2.3779267258,0.7,-0.808,3.649,4.639,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.12e-14,0.0,0.7225,0.2629,0.00263,0.0007097,0.006438,-1.0,0.01461,6.791,6.964,7.624,6.181
0.0152,0.01508,9.60001,0.7295700908,2.3913331574,0.73,-0.716,3.6663,4.634,1.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,-1.0,-1.36e-14,0.0,0.7233,0.2621,0.002602,0.0007073,0.006423,-1.0,0.01461,6.56,6.656,7.247,5.922
0.0152,0.01508,9.60001,0.75,2.3998889087,0.75,-0.654,3.6778,4.631,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.55e-14,0.0,0.7239,0.2615,0.002584,0.0007058,0.006413,-1.0,0.0146,6.406,6.456,7.007,5.754
0.0152,0.01508,9.60001,0.7936551571,2.4164850899,0.793,-0.531,3.6966,4.607,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.06e-14,0.0,0.7256,0.2599,0.00257,0.0007021,0.00638,-1.0,0.01452,6.098,6.088,6.582,5.434
0.0152,0.01508,9.60001,0.8000000119,2.4187244405,0.8,-0.514,3.6993,4.604,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.15e-14,0.0,0.7258,0.2597,0.002568,0.0007015,0.006375,-1.0,0.01451,6.054,6.037,6.522,5.39
0.0152,0.01508,9.60001,0.8087100983,2.4217328597,0.808,-0.49,3.7029,4.599,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.27e-14,0.0,0.7262,0.2593,0.002565,0.0007007,0.006367,-1.0,0.0145,5.994,5.967,6.443,5.329
0.0152,0.01508,9.60001,0.8500000238,2.435034684,0.85,-0.377,3.7193,4.574,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.94e-14,0.0,0.728,0.2576,0.00255,0.0006966,0.00633,-1.0,0.01439,5.714,5.649,6.082,5.049
0.0152,0.01508,9.60001,0.8709536195,2.4412329417,0.87,-0.322,3.727,4.56,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-3.36e-14,0.0,0.7292,0.2564,0.00254,0.000694,0.006307,-1.0,0.01434,5.574,5.495,5.911,4.912
