Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,9.5,0.0900000036,1.0816895926,0.09,-3.424,3.3622,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7088,0.2759,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.312,13.893
0.0152,0.01508,9.5,0.0900000036,1.0816895926,0.09,-3.424,3.3622,5.217,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.89e-17,0.0,0.7088,0.2759,0.002746,0.0007408,0.006719,-1.0,0.01527,13.33,15.384,18.312,13.893
0.0152,0.01508,9.5,0.1000000015,1.1711064122,0.1,-3.242,3.3881,5.184,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.84e-17,0.0,0.7087,0.276,0.002746,0.0007408,0.006719,-1.0,0.01527,12.874,14.927,17.841,13.437
0.0152,0.01508,9.5,0.1096391305,1.2469258319,0.11,-3.108,3.4056,5.161,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.78e-17,0.0,0.7086,0.2761,0.002746,0.0007408,0.006719,-1.0,0.01527,12.541,14.592,17.497,13.103
0.0152,0.01508,9.5,0.1200000122,1.3193155232,0.12,-2.977,3.4228,5.138,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.03e-16,0.0,0.7084,0.2763,0.002746,0.0007408,0.006719,-1.0,0.01527,12.214,14.187,16.975,12.716
0.0152,0.01508,9.5,0.1400000006,1.4384526719,0.14,-2.794,3.4431,5.102,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.52e-16,0.0,0.7082,0.2765,0.002746,0.0007408,0.006719,-1.0,0.01527,11.755,13.451,15.866,12.047
0.0152,0.01508,9.5,0.1422300041,1.4503577882,0.142,-2.777,3.4447,5.099,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.57e-16,0.0,0.7082,0.2765,0.002746,0.0007408,0.006719,-1.0,0.01527,11.713,13.389,15.777,11.989
0.0152,0.01508,9.5,0.1599999964,1.5372931554,0.16,-2.653,3.4566,5.073,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.03e-16,0.0,0.708,0.2768,0.002746,0.0007408,0.006719,-1.0,0.01527,11.402,12.926,15.106,11.566
0.0152,0.01508,9.5,0.200000003,1.6938790862,0.2,-2.437,3.4753,5.029,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.15e-16,0.0,0.7076,0.2771,0.002746,0.0007408,0.006719,-1.0,0.01527,10.862,12.168,14.056,10.872
0.0152,0.01508,9.5,0.25,1.8403257998,0.25,-2.233,3.4918,4.988,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.72e-16,0.0,0.7072,0.2775,0.002746,0.0007408,0.006719,-1.0,0.01527,10.351,11.48,13.137,10.243
0.0152,0.01508,9.5,0.3000000119,1.9529139769,0.3,-2.074,3.5026,4.952,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.84e-16,0.0,0.707,0.2777,0.002746,0.0007408,0.006719,-1.0,0.01527,9.955,10.987,12.524,9.785
0.0152,0.01508,9.5,0.3279355764,2.0056971238,0.328,-1.983,3.5076,4.919,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.92e-16,0.0,0.7085,0.2762,0.002746,0.0007408,0.006719,-1.0,0.01527,9.727,10.718,12.204,9.531
0.0152,0.01508,9.5,0.3500000238,2.0434175133,0.35,-1.915,3.5112,4.894,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.22e-16,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,9.558,10.52,11.971,9.344
0.0152,0.01508,9.5,0.4000000358,2.118502481,0.4,-1.773,3.5225,4.855,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.25e-15,0.0,0.7091,0.2756,0.002746,0.0007408,0.006719,-1.0,0.01527,9.203,10.079,11.431,8.938
0.0152,0.01508,9.5,0.4500000477,2.1822809714,0.45,-1.624,3.5345,4.805,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.76e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.83,9.625,10.885,8.518
0.0152,0.01508,9.5,0.5,2.2374541529,0.5,-1.469,3.5492,4.755,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.53e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.443,9.145,10.306,8.079
0.0152,0.01508,9.5,0.5500000119,2.2836582633,0.55,-1.305,3.568,4.707,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.72e-15,0.0,0.7167,0.2685,0.002679,0.0007229,0.006557,-1.0,0.01489,8.032,8.618,9.662,7.607
0.0152,0.01508,9.5,0.6000000238,2.3211213258,0.6,-1.141,3.5913,4.674,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.4e-15,0.0,0.7178,0.2674,0.00267,0.0007204,0.006535,-1.0,0.01485,7.621,8.075,8.993,7.131
0.0152,0.01508,9.5,0.6499999762,2.3520353107,0.65,-0.975,3.6191,4.655,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.76e-15,0.0,0.7188,0.2663,0.002661,0.000718,0.006513,-1.0,0.01483,7.208,7.527,8.32,6.656
0.0152,0.01508,9.5,0.7000000477,2.3779267258,0.7,-0.817,3.6479,4.643,1.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.09e-14,0.0,0.7199,0.2654,0.002653,0.0007159,0.006494,-1.0,0.01472,6.811,6.99,7.655,6.203
0.0152,0.01508,9.5,0.7186361551,2.3865236944,0.719,-0.759,3.6589,4.641,1.0,0.0,0.542,0.0,0.0,0.0,0.0,0.0,-1.0,-1.23e-14,0.0,0.7203,0.265,0.002636,0.0007145,0.006486,-1.0,0.0147,6.667,6.794,7.413,6.04
0.0152,0.01508,9.5,0.75,2.3998889087,0.75,-0.664,3.6766,4.636,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.51e-14,0.0,0.7209,0.2644,0.002609,0.0007127,0.006475,-1.0,0.01473,6.431,6.486,7.041,5.781
0.0152,0.01508,9.5,0.7804631591,2.4116947986,0.78,-0.58,3.6897,4.621,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-1.83e-14,0.0,0.7219,0.2635,0.002601,0.0007105,0.006456,-1.0,0.01468,6.219,6.23,6.744,5.558
0.0152,0.01508,9.5,0.8000000119,2.4187244405,0.8,-0.526,3.6978,4.611,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.07e-14,0.0,0.7225,0.2629,0.002596,0.0007092,0.006444,-1.0,0.01464,6.086,6.073,6.563,5.422
0.0152,0.01508,9.5,0.8500000238,2.435034684,0.85,-0.393,3.7177,4.583,1.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,-1.0,-2.81e-14,0.0,0.7243,0.2612,0.002582,0.0007053,0.006408,-1.0,0.01455,5.754,5.692,6.13,5.088
