RA_ICRS;DE_ICRS;GaiaDR2;GLON;GLAT;Plx;e_Plx;pmRA*;e_pmRA*;pmDE;e_pmDE;RV;e_RV;RADEcor;RAPlxcor;RApmRAcor;RApmDEcor;DEPlxcor;DEpmRAcor;DEpmDEcor;PlxpmRAcor;PlxpmDEcor;pmRApmDEcor;o_Gmag;Gmag;BP-RP;proba;Cluster;Teff50;Simbad;_RA.icrs;_DE.icrs
 30.36759915219; 75.32113848098; 559334694767691008; 1.27420398514483281e+02; 1.306314021973371275e+01; 2.22251950350215166e-01; 0.048495346641877005; 2.716107355562440873e+00; 0.080602449806829235; 4.841971312750515954e-01; 0.079211779212781094;                        ;                     ; -0.09787349000;  0.24114490000; -0.18747320000;  0.11270387000; -0.15343907000;  0.07608838000; -0.26943547000;-6.685028000e-02; 2.231873000e-01;-1.323177400e-01; 321;16.5291140; 1.472992000e+00; 1.00000;Berkeley_8       ; 6038.87450000;Simbad; 30.36755300263;+75.32113639624
 30.54234780301; 75.33524145799; 559340462906141696; 1.27460070878652488e+02; 1.308891940083340621e+01; 2.64169014454651796e-01; 0.103822090442557663; 2.555409580578439588e+00; 0.155191177371249350; 4.205701184504698764e-01; 0.155502030977614697;                        ;                     ; -0.12713546000;  0.33942613000; -0.19729917000;  0.20054089000; -0.14624639000;  0.11512790000; -0.32672185000;-1.109595000e-01; 3.575504000e-01;-1.620047400e-01; 312;17.7373830; 1.381412500e+00; 0.90000;Berkeley_8       ; 5956.47460000;Simbad; 30.54230434303;+75.33523964720
 30.41241449553; 75.33564601339; 559340600345111936; 1.27427502457591146e+02; 1.308021136043288202e+01; 2.08870280085059284e-01; 0.061411234316850853; 2.804830281705936734e+00; 0.105220231722498156; 2.743020101501387753e-01; 0.111978012291267734;                        ;                     ; -0.08130675000;  0.26525852000; -0.14291373000;  0.06299309400; -0.07340745000;  0.03945141300; -0.34657880000;-5.695180600e-02; 1.842074700e-01;-1.678881200e-01; 339;17.0617200; 1.417043700e+00; 0.90000;Berkeley_8       ; 6755.38960000;Simbad; 30.41236679235;+75.33564483236
 30.72852345055; 75.38410442088; 559340978302272000; 1.27492471728034545e+02; 1.314897032890815076e+01; 2.80633858495806132e-01; 0.074192071069180854; 2.731802427115830767e+00; 0.129478548199717158; 3.476281030383159276e-01; 0.122669419514020744;                        ;                     ; -0.18078480000;  0.19567692000; -0.11286490400;  0.05566638700; -0.07356836000; -0.01187265300; -0.15090479000;-9.001297000e-02; 3.485148800e-01;-3.107172500e-01; 300;17.2098830; 1.425193800e+00; 0.80000;Berkeley_8       ; 6232.94340000;Simbad; 30.72847683873;+75.38410292414
 30.57155955940; 75.37649085895; 559341085679004288; 1.27455589990303821e+02; 1.313059683082073548e+01; 6.03884344888671182e-02; 0.100331994701276378; 2.728935362242874252e+00; 0.172283390779143064; 3.403070722655865965e-01; 0.167203574201340133;                        ;                     ; -0.13577051000;  0.16386050000; -0.12632261000;  0.15268630000; -0.10668313000;  0.12982336000; -0.22472150000;-1.944251200e-01; 2.853418000e-01;-1.093961500e-01; 316;17.7969040; 1.371072800e+00; 0.80000;Berkeley_8       ; 6368.81400000;Simbad; 30.57151302021;+75.37648939373
 30.53848900353; 75.37449802458; 559341085679006592; 1.27447921990034786e+02; 1.312636302739635674e+01; 1.64453127008527877e-01; 0.087355435494300943; 2.548314952121500720e+00; 0.140681373441753299; 3.194244851351411008e-01; 0.151691254259942759;                        ;                     ; -0.13703789000;  0.20715296000; -0.21317561000;  0.07551534000; -0.08273891000;  0.02343455300; -0.39326690000;-1.865991400e-01; 2.989188700e-01;-1.592342100e-01; 300;17.5120600; 1.344818100e+00; 1.00000;Berkeley_8       ; 6511.33250000;Simbad; 30.53844555043;+75.37449664928
 30.52178492236; 75.40246388862; 559341188758210304; 1.27435798022230969e+02; 1.315206226602871276e+01; 2.55636547868575370e-01; 0.089225764810159952; 2.417480628267858922e+00; 0.142468595752412247; 5.015518423439098150e-01; 0.149284250586279699;                        ;                     ; -0.13654162000;  0.16267666000; -0.16732277000;  0.13468514000;  0.01899124700;  0.08649672000; -0.23944703000;-1.736366500e-01; 3.063466500e-01;-1.690189500e-01; 285;17.5322230; 1.373666800e+00; 0.90000;Berkeley_8       ; 6081.95200000;Simbad; 30.52174362296;+75.40246172915
 30.73460392595; 75.42221500286; 559342563147736064; 1.27483003397700841e+02; 1.318598069825691788e+01; 3.04054367753598009e-01; 0.085546916688206284; 2.535663363768128953e+00; 0.148471386928029747; 2.687849119718589974e-01; 0.141353287476600503;                        ;                     ; -0.23724218000;  0.20657416000; -0.10968867000;  0.07536061000; -0.16921341000;  0.02564877500; -0.23167756000;-1.319931900e-01; 3.603703400e-01;-3.394393600e-01; 285;17.4552250; 1.506368600e+00; 0.80000;Berkeley_8       ; 5960.78760000;Simbad; 30.73456055014;+75.42221384558
 30.66216501624; 75.42749640240; 559342765008714752; 1.27463510628788768e+02; 1.318594619847003635e+01; 2.55807341557973300e-01; 0.105279215818533028; 2.984212151459673557e+00; 0.192750041630914942; 4.852774107042773788e-01; 0.174848389688818440;                        ;                     ; -0.19523872000;  0.11500610400; -0.01691228300;  0.00138432750; -0.11890425000; -0.01109162100; -0.17985287000;-1.678423300e-01; 3.346768000e-01;-3.354223700e-01; 292;17.8202690; 1.461717600e+00; 0.90000;Berkeley_8       ; 6095.77440000;Simbad; 30.66211394931;+75.42749431301
 30.59968576896; 75.44182906295; 559342799370468224; 1.27443905936752216e+02; 1.319532584974299105e+01; 2.97820249992487240e-01; 0.090397667452992381; 2.865454175913699775e+00; 0.147933795079669972; 5.101838339820425894e-01; 0.134461139537889074;                        ;                     ; -0.19161084000;  0.06572583000; -0.06254735600;  0.07592558000; -0.02894138400;  0.06181333600; -0.20048055000;-2.011277100e-01; 3.956024300e-01;-2.629393600e-01; 276;17.4271640; 1.445032100e+00; 1.00000;Berkeley_8       ; 6071.90700000;Simbad; 30.59963668704;+75.44182686632
