Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.5,0.0900000036,1.0816895926,0.09,-2.403,3.4034,4.361,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.11e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.778,12.818,15.489,11.353
0.0152,0.01508,7.5,0.0900000036,1.0816895926,0.09,-2.403,3.4034,4.361,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.11e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.778,12.818,15.489,11.353
0.0152,0.01508,7.5,0.0985069573,1.1585120789,0.098,-2.342,3.4103,4.366,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.21e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.625,12.665,15.338,11.199
0.0152,0.01508,7.5,0.1000000015,1.1711064122,0.1,-2.332,3.4115,4.368,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.23e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.599,12.64,15.313,11.174
0.0152,0.01508,7.5,0.1151940823,1.2867909046,0.115,-2.236,3.422,4.375,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.36,12.334,14.929,10.884
0.0152,0.01508,7.5,0.1200000122,1.3193155232,0.12,-2.208,3.4252,4.378,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.47e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.291,12.219,14.757,10.778
0.0152,0.01508,7.5,0.1212428659,1.3274519482,0.121,-2.201,3.426,4.379,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.49e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.273,12.19,14.714,10.752
0.0152,0.01508,7.5,0.1400000006,1.4384526719,0.14,-2.103,3.4369,4.387,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.72e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.028,11.797,14.149,10.393
0.0152,0.01508,7.5,0.1599999964,1.5372931554,0.16,-2.014,3.4468,4.396,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.95e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.806,11.449,13.658,10.075
0.0152,0.01508,7.5,0.1762147099,1.6063187567,0.176,-1.951,3.4537,4.402,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.13e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.648,11.206,13.315,9.854
0.0152,0.01508,7.5,0.203659147,1.7061471711,0.204,-1.857,3.4639,4.412,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.44e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.412,10.85,12.817,9.53
0.0152,0.01508,7.5,0.2269651145,1.7780875307,0.227,-1.787,3.4712,4.418,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.69e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.237,10.597,12.472,9.298
0.0152,0.01508,7.5,0.2424147278,1.8206835644,0.242,-1.745,3.4757,4.422,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.84e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.132,10.445,12.265,9.16
0.0152,0.01508,7.5,0.2447962463,1.8269356609,0.245,-1.739,3.4763,4.423,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.86e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.117,10.422,12.235,9.14
0.0152,0.01508,7.5,0.2536920607,1.849608291,0.254,-1.715,3.4787,4.424,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.98e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.058,10.338,12.122,9.063
0.0152,0.01508,7.5,0.2807514071,1.9126748558,0.281,-1.65,3.4854,4.429,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.28e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.894,10.103,11.803,8.851
0.0152,0.01508,7.5,0.3000000119,1.9529139769,0.3,-1.608,3.4899,4.434,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.48e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.789,9.949,11.591,8.713
