Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.1,0.0900000036,1.0816895926,0.09,-2.134,3.399,4.075,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.86e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.105,12.128,14.706,10.674
0.0152,0.01508,7.1,0.0900000036,1.0816895926,0.09,-2.134,3.399,4.075,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.86e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.105,12.128,14.706,10.674
0.0152,0.01508,7.1,0.09903799,1.1630197876,0.099,-2.075,3.4053,4.082,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.09e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.959,11.982,14.562,10.528
0.0152,0.01508,7.1,0.1000000015,1.1711064122,0.1,-2.069,3.4059,4.083,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.12e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.943,11.966,14.547,10.512
0.0152,0.01508,7.1,0.1200000122,1.3193155232,0.12,-1.955,3.4178,4.095,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.65e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.658,11.661,14.222,10.211
0.0152,0.01508,7.1,0.1341504753,1.4060163054,0.134,-1.884,3.4253,4.103,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.03e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.48,11.391,13.848,9.962
0.0152,0.01508,7.1,0.1479111165,1.47962107,0.148,-1.821,3.4323,4.111,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.39e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.324,11.139,13.487,9.731
0.0152,0.01508,7.1,0.1584280878,1.5301198963,0.158,-1.776,3.4374,4.116,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.67e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.211,10.961,13.241,9.568
0.0152,0.01508,7.1,0.1615154296,1.5441224834,0.162,-1.764,3.4388,4.118,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.74e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.181,10.914,13.174,9.525
0.0152,0.01508,7.1,0.1716481298,1.5877408554,0.172,-1.724,3.4432,4.121,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.04e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.08,10.759,12.961,9.383
0.0152,0.01508,7.1,0.1852657944,1.6413555804,0.185,-1.675,3.4488,4.128,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-5.4e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.956,10.566,12.693,9.206
0.0152,0.01508,7.1,0.2135837078,1.7380278029,0.214,-1.583,3.4593,4.139,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.12e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.727,10.213,12.2,8.885
0.0152,0.01508,7.1,0.232462585,1.7936654803,0.232,-1.528,3.4654,4.146,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-6.61e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.59,10.013,11.93,8.702
0.0152,0.01508,7.1,0.25,1.8403257998,0.25,-1.481,3.4707,4.152,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.05e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.473,9.842,11.699,8.546
0.0152,0.01508,7.1,0.2748961747,1.8997171641,0.275,-1.42,3.4777,4.16,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-7.67e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.321,9.621,11.403,8.344
0.0152,0.01508,7.1,0.3000000119,1.9529139769,0.3,-1.364,3.4843,4.168,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.28e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.179,9.416,11.125,8.159
0.0152,0.01508,7.1,0.329683274,2.0088038287,0.33,-1.304,3.4913,4.178,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-8.96e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,8.031,9.202,10.838,7.967
0.0152,0.01508,7.1,0.3500000238,2.0434175133,0.35,-1.266,3.4958,4.183,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.43e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.935,9.071,10.667,7.847
0.0152,0.01508,7.1,0.362137109,2.0628730526,0.362,-1.245,3.4982,4.187,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-9.69e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.883,9.0,10.575,7.782
0.0152,0.01508,7.1,0.4000000358,2.118502481,0.4,-1.183,3.5055,4.197,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.05e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.727,8.789,10.306,7.59
0.0152,0.01508,7.1,0.4377438724,2.1675299898,0.437,-1.127,3.5125,4.208,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.13e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.587,8.597,10.058,7.416
0.0152,0.01508,7.1,0.4500000477,2.1822809714,0.45,-1.109,3.5147,4.211,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.16e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.542,8.536,9.98,7.362
0.0152,0.01508,7.1,0.477617085,2.2136852143,0.478,-1.072,3.5196,4.22,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.21e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.451,8.41,9.815,7.248
0.0152,0.01508,7.1,0.5,2.2374541529,0.5,-1.042,3.5235,4.225,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.26e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.376,8.307,9.682,7.156
0.0152,0.01508,7.1,0.5121895671,2.2496767754,0.512,-1.028,3.5258,4.231,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.28e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.34,8.255,9.613,7.11
0.0152,0.01508,7.1,0.5376136303,2.2731308243,0.537,-0.996,3.5301,4.237,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.33e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.261,8.146,9.473,7.014
0.0152,0.01508,7.1,0.5500000119,2.2836582633,0.55,-0.983,3.5318,4.24,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.35e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.227,8.1,9.414,6.972
0.0152,0.01508,7.1,0.5803467631,2.3072804516,0.58,-0.947,3.5371,4.249,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.138,7.975,9.251,6.862
0.0152,0.01508,7.1,0.6000000238,2.3211213258,0.6,-0.924,3.5402,4.253,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.46e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.08,7.897,9.151,6.793
0.0152,0.01508,7.1,0.6147561669,2.3308471778,0.615,-0.907,3.5433,4.258,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.49e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,7.037,7.834,9.066,6.738
0.0152,0.01508,7.1,0.6499999762,2.3520353107,0.65,-0.867,3.5494,4.267,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.57e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,6.937,7.693,8.882,6.615
0.0152,0.01508,7.1,0.6589964628,2.3570280528,0.659,-0.855,3.5516,4.27,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.6e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,6.908,7.65,8.824,6.578
0.0152,0.01508,7.1,0.6980195045,2.3769820046,0.698,-0.803,3.5604,4.278,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.74e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,6.777,7.46,8.574,6.415
0.0152,0.01508,7.1,0.7000000477,2.3779267258,0.7,-0.8,3.5609,4.279,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.75e-14,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,6.77,7.45,8.561,6.407
0.0152,0.01508,7.1,0.75,2.3998889087,0.75,-0.635,3.6191,4.376,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-2.21e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,6.357,6.687,7.475,5.82
0.0152,0.01508,7.1,0.7669714689,2.4065991612,0.767,-0.618,3.6212,4.377,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-2.27e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,6.315,6.634,7.412,5.773
0.0152,0.01508,7.1,0.8000000119,2.4187244405,0.8,-0.58,3.6253,4.374,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-2.43e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,6.22,6.516,7.274,5.668
0.0152,0.01508,7.1,0.8261139393,2.4275261161,0.826,-0.552,3.629,4.374,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-2.55e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,6.149,6.425,7.166,5.588
0.0152,0.01508,7.1,0.8500000238,2.435034684,0.85,-0.52,3.6327,4.37,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-2.72e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,6.069,6.326,7.049,5.5
0.0152,0.01508,7.1,0.9000000358,2.4492786175,0.899,-0.451,3.6421,4.363,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-3.11e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.898,6.107,6.786,5.31
0.0152,0.01508,7.1,0.9500000477,2.4618122009,0.95,-0.386,3.6517,4.361,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-3.52e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.736,5.897,6.535,5.128
0.0152,0.01508,7.1,0.9733940959,2.4671705167,0.973,-0.355,3.6566,4.36,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-3.75e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.658,5.795,6.414,5.04
0.0152,0.01508,7.1,0.9991136789,2.4727297255,0.999,-0.312,3.6632,4.354,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-4.1e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.55,5.657,6.251,4.921
0.0152,0.01508,7.1,1.0,2.4729154477,1.0,-0.31,3.6634,4.354,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-4.11e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.546,5.653,6.246,4.917
0.0152,0.01508,7.1,1.0142322779,2.4758466689,1.014,-0.287,3.6671,4.352,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-4.22e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.488,5.579,6.159,4.854
0.0152,0.01508,7.1,1.0499999523,2.482811486,1.05,-0.225,3.6771,4.344,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-4.57e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.332,5.385,5.931,4.686
0.0152,0.01508,7.1,1.0776865482,2.4878392368,1.077,-0.176,3.685,4.338,0.0,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1.0,-4.85e-14,0.0,0.7092,0.2755,0.00271,0.0007399,0.00672,-1.0,0.01527,5.21,5.236,5.757,4.558
