Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
Collinder_258    ;186.798;-60.767;299.974;  1.966; 0.128; 110; -7.051; 0.111; -0.288; 0.095; 0.764; 0.046;NN            ; 7.99; 0.53;10.54;  1284;    641;  -1111;    44;  7778;Cl Collinder 258               ;186.7981;-60.7670
Collinder_261    ;189.519;-68.377;301.696; -5.537; 0.108;1799; -6.351; 0.165; -2.705; 0.160; 0.315; 0.082;NN            ; 9.80; 0.81;12.27;  2850;   1490;  -2414;  -275;  7262;Cl Collinder 261               ;189.5191;-68.3770
Collinder_268    ;199.543;-67.079;305.537; -4.343; 0.080; 128; -5.480; 0.090; -0.405; 0.085; 0.357; 0.038;NN            ; 8.38; 1.16;12.10;  2633;   1526;  -2137;  -199;  7140;Cl Collinder 268               ;199.5431;-67.0790
Collinder_269    ;200.992;-66.204;306.210; -3.539; 0.137;  55; -5.058; 0.059; -2.492; 0.102; 0.568; 0.043;NN            ; 8.62; 0.78;11.16;  1702;   1003;  -1371;  -105;  7463;Cl Collinder 269               ;200.9921;-66.2040
Collinder_271    ;202.453;-64.199;307.093; -1.637; 0.049;  34; -5.697; 0.059; -1.579; 0.060; 0.353; 0.038;NN            ; 7.79; 1.23;12.09;  2613;   1575;  -2084;   -74;  7077;Cl Collinder 271               ;202.4531;-64.1990
Collinder_272    ;202.586;-61.319;307.584;  1.201; 0.127; 255; -3.441; 0.080; -1.798; 0.134; 0.414; 0.046;NN            ; 7.66; 1.29;11.75;  2236;   1363;  -1771;    46;  7197;Cl Collinder 272               ;202.5860;-61.3190
Collinder_277    ;207.058;-66.066;308.655; -3.827; 0.141; 195; -9.225; 0.097; -4.139; 0.091; 0.576; 0.042;NN            ; 8.99; 0.72;11.22;  1752;   1092;  -1365;  -116;  7375;Cl Collinder 277               ;207.0581;-66.0660
Collinder_292    ;237.410;-57.594;325.040; -2.584; 0.095;  94; -2.397; 0.076; -2.232; 0.086; 0.528; 0.045;NN            ; 8.41; 0.97;11.25;  1777;   1455;  -1017;   -80;  6959;Cl Collinder 292               ;237.4100;-57.5940
Collinder_307    ;248.792;-50.990;334.388; -2.321; 0.063; 116; -0.715; 0.144; -3.339; 0.108; 0.484; 0.054;NN            ; 8.39; 2.11;11.61;  2099;   1891;   -906;   -85;  6511;Cl Collinder 307               ;248.7920;-50.9900
Collinder_338    ;264.483;-37.657;351.740; -3.236; 0.242;  63;  2.546; 0.150; -1.854; 0.145; 1.521; 0.060;NN            ; 8.16; 0.45; 9.04;   643;    635;    -92;   -36;  7704;Cl Collinder 338               ;264.4830;-37.6570
Collinder_350    ;267.018;+01.525; 26.952; 14.773; 0.786; 169; -4.965; 0.387; -0.019; 0.243; 2.708; 0.129;NN            ; 8.77; 0.52; 7.85;   371;    320;    162;    94;  8021;Cl Collinder 350               ;267.0180;+01.5250
Collinder_359    ;270.598;+03.260; 30.228; 12.394; 1.562; 269;  0.637; 0.234; -8.668; 0.294; 1.786; 0.105;NN            ; 7.57; 0.51; 8.69;   546;    461;    268;   117;  7883;Cl Collinder 359               ;270.5980;+03.2600
Collinder_394    ;283.092;-20.229; 14.869; -9.268; 0.196; 156; -1.459; 0.184; -5.882; 0.171; 1.388; 0.056;NN            ; 7.96; 0.54; 9.23;   700;    667;    177;  -112;  7674;Cl Collinder 394               ;283.0920;-20.2290
Collinder_419    ;304.534;+40.732; 78.100;  2.777; 0.058;  48; -2.708; 0.358; -6.382; 0.219; 0.952; 0.041;NN            ; 7.29; 1.17;10.01;  1003;    206;    981;    48;  8192;Cl Collinder 419               ;304.5340;+40.7320
Collinder_421    ;305.829;+41.701; 79.453;  2.523; 0.143; 162; -3.651; 0.123; -8.334; 0.113; 0.813; 0.048;NN            ; 8.37; 1.69;10.42;  1214;    222;   1193;    53;  8205;Cl Collinder 421               ;305.8290;+41.7010
Collinder_463    ;027.031;+71.738;127.391;  9.358; 0.608; 404; -1.715; 0.124; -0.307; 0.148; 1.137; 0.042;NN            ; 8.06; 0.79; 9.65;   849;   -508;    665;   138;  8874;Cl Collinder 463               ;027.0310;+71.7380
Collinder_469    ;274.143;-18.309; 12.736; -0.871; 0.029;  24;  0.089; 0.059; -1.679; 0.053; 0.399; 0.054;NN            ; 6.98; 1.96;11.92;  2422;   2362;    533;   -36;  6001;Cl Collinder 469               ;274.1430;-18.3090
Collinder_69     ;083.792;+09.813;195.162;-12.050; 0.989; 620;  1.194; 0.550; -2.118; 0.393; 2.462; 0.124;manual        ; 7.10; 0.25; 8.10;   416;   -393;   -106;   -87;  8734;Cl Collinder 69                ;083.7920;+09.8130
Collinder_74     ;087.170;+07.374;199.019;-10.379; 0.063; 107;  1.011; 0.121; -1.512; 0.122; 0.379; 0.075;NN            ; 9.28; 0.85;11.99;  2498;  -2323;   -800;  -450; 10693;Cl Collinder 74                ;087.1700;+07.3740
Collinder_95     ;097.788;+09.894;201.825;  0.049; 0.171; 136; -2.263; 0.347; -5.159; 0.311; 1.458; 0.117;NN            ; 7.28; 1.52; 9.10;   659;   -612;   -245;     0;  8955;Cl Collinder 95                ;097.7880;+09.8940
Czernik_1        ;001.906;+61.476;117.725; -0.952; 0.024;  35; -2.964; 0.121; -1.395; 0.087; 0.310; 0.040;NN            ; 7.57; 2.17;12.47;  3124;  -1453;   2765;   -51; 10176;Cl Czernik 1                   ;001.9060;+61.4760
Czernik_10       ;038.483;+60.167;135.355; -0.208; 0.023;  35; -1.178; 0.160;  0.267; 0.217; 0.239; 0.106;manual        ; 8.34; 3.46;13.21;  4387;  -3121;   3083;   -15; 11869;Cl Czernik 10                  ;038.4830;+60.1670
Czernik_12       ;039.853;+54.922;138.105; -4.737; 0.047;  33; -0.189; 0.086;  0.931; 0.074; 0.482; 0.058;NN            ; 9.13; 0.75;11.42;  1919;  -1423;   1277;  -158;  9847;Cl Czernik 12                  ;039.8530;+54.9220
Czernik_13       ;041.106;+62.327;135.639;  2.276; 0.050;  85;  0.585; 0.094; -0.208; 0.109; 0.293; 0.053;NN            ; 8.38; 1.83;12.72;  3500;  -2500;   2445;   139; 11113;Cl Czernik 13                  ;041.1060;+62.3270
Czernik_14       ;049.262;+58.612;140.939;  0.927; 0.027;  51; -0.490; 0.120; -0.395; 0.145; 0.285; 0.052;NN            ; 8.62; 3.03;12.51;  3176;  -2466;   2001;    51; 10990;Cl Czernik 14                  ;049.2620;+58.6120
Czernik_15       ;050.781;+52.223;145.105; -3.995; 0.111;  13;  0.330; 0.092; -1.046; 0.092; 0.321; 0.043;NN            ; 7.77; 2.30;11.88;  2373;  -1942;   1354;  -165; 10370;Cl Czernik 15                  ;050.7810;+52.2230
Czernik_16       ;052.754;+52.612;145.885; -2.999; 0.057;  45;  0.795; 0.157; -2.181; 0.117; 0.340; 0.050;NN            ; 8.51; 2.61;12.20;  2751;  -2274;   1540;  -143; 10726;Cl Czernik 16                  ;052.7540;+52.6120
Czernik_18       ;066.963;+30.936;168.263;-12.309; 0.051;  45;  1.826; 0.261; -2.994; 0.131; 0.738; 0.079;NN            ; 8.72; 1.34;10.61;  1325;  -1267;    263;  -282;  9611;Cl Czernik 18                  ;066.9630;+30.9360
Czernik_19       ;074.258;+28.763;174.096; -8.862; 0.076;  79;  1.049; 0.116; -2.126; 0.113; 0.367; 0.050;NN            ; 8.31; 1.78;12.06;  2586;  -2542;    262;  -398; 10885;Cl Czernik 19                  ;074.2580;+28.7630
Czernik_2        ;010.952;+60.197;121.983; -2.661; 0.085;  77; -4.060; 0.116; -0.905; 0.089; 0.495; 0.049;NN            ; 8.57; 1.41;11.39;  1899;  -1005;   1609;   -88;  9482;Cl Czernik 2                   ;010.9520;+60.1970
Czernik_20       ;080.129;+39.545;168.286;  1.440; 0.032;  34;  0.619; 0.102; -1.583; 0.061; 0.264; 0.046;NN            ; 9.22; 1.49;12.71;  3488;  -3414;    707;    87; 11775;Cl Czernik 20                  ;080.1290;+39.5450
Czernik_21       ;081.671;+36.013;171.889;  0.453; 0.053; 124;  2.244; 0.200; -0.907; 0.179; 0.221; 0.112;NN            ; 9.41; 2.05;13.03;  4036;  -3996;    569;    31; 12349;Cl Czernik 21                  ;081.6710;+36.0130
Czernik_23       ;087.525;+28.898;180.540;  0.819; 0.050;  93;  0.080; 0.138; -1.794; 0.171; 0.288; 0.108;NN            ; 8.43; 1.49;12.99;  3968;  -3967;    -37;    56; 12307;Cl Czernik 23                  ;087.5250;+28.8980
Czernik_24       ;088.848;+20.876;188.058; -2.226; 0.045;  94;  0.222; 0.269; -2.629; 0.268; 0.261; 0.124;NN            ; 9.43; 1.63;13.00;  3981;  -3938;   -557;  -154; 12291;Cl Czernik 24                  ;088.8480;+20.8760
Czernik_25       ;093.432;+06.953;202.410; -5.135; 0.056;  99; -0.222; 0.136;  0.252; 0.121; 0.438; 0.059;NN            ; 8.87; 1.01;11.68;  2167;  -1995;   -822;  -193; 10368;Cl Czernik 25                  ;093.4320;+06.9530
Czernik_26       ;097.754;-04.183;214.342; -6.445; 0.019;  10;  0.142; 0.087;  0.191; 0.101; 0.060; 0.084;NN            ; 8.72; 0.88;14.25;  7087;  -5815;  -3973;  -795; 14702;Cl Czernik 26                  ;097.7540;-04.1830
Czernik_27       ;105.830;+06.382;208.585;  5.538; 0.024;  45; -0.505; 0.168; -1.395; 0.078; 0.221; 0.065;NN            ; 8.94; 0.44;13.17;  4313;  -3770;  -2054;   416; 12283;Cl Czernik 27                  ;105.8300;+06.3820
Czernik_29       ;112.100;-15.385;230.796;  0.963; 0.059; 147; -1.406; 0.298;  1.354; 0.219; 0.235; 0.068;NN            ; 8.18; 1.09;12.71;  3485;  -2202;  -2700;    58; 10883;Cl Czernik 29                  ;112.1000;-15.3850
Czernik_3        ;015.780;+62.787;124.267; -0.055; 0.014;  44; -0.220; 0.158; -0.296; 0.169; 0.195; 0.071;NN            ; 8.54; 2.91;13.22;  4415;  -2486;   3649;    -4; 11424;Cl Czernik 3                   ;015.7800;+62.7870
Czernik_30       ;112.796;-09.945;226.336;  4.158; 0.030;  85; -0.587; 0.138; -0.097; 0.142; 0.110; 0.079;NN            ; 9.46; 0.62;14.11;  6647;  -4577;  -4796;   482; 13779;Cl Czernik 30                  ;112.7960;-09.9450
Czernik_31       ;114.238;-20.515;236.270;  0.266; 0.038;  71; -1.946; 0.107;  3.035; 0.116; 0.295; 0.051;NN            ; 7.47; 1.43;12.65;  3396;  -1885;  -2824;    15; 10608;Cl Czernik 31                  ;114.2380;-20.5150
Czernik_32       ;117.620;-29.853;245.890; -1.737; 0.036; 162; -2.962; 0.118;  2.480; 0.123; 0.196; 0.068;NN            ; 9.05; 2.17;13.08;  4139;  -1690;  -3777;  -125; 10717;Cl Czernik 32                  ;117.6200;-29.8530
Czernik_37       ;268.320;-27.373;  2.209; -0.644; 0.039; 196;  0.459; 0.191; -0.445; 0.147; 0.406; 0.095;NN            ; 8.58; 3.43;11.82;  2314;   2312;     89;   -26;  6028;Cl Czernik 37                  ;268.3200;-27.3730
Czernik_38       ;282.451;+04.965; 37.168;  2.624; 0.041; 168; -1.840; 0.189; -5.005; 0.210; 0.383; 0.134;NN            ; 8.27; 4.25;11.96;  2461;   1959;   1485;   112;  6551;Cl Czernik 38                  ;282.4510;+04.9650
Czernik_39       ;286.926;+04.337; 38.648; -1.630; 0.032;  36; -1.586; 0.115; -4.704; 0.096; 0.253; 0.073;NN            ; 8.14; 2.63;12.57;  3265;   2549;   2038;   -92;  6138;Cl Czernik 39                  ;286.9260;+04.3370
Czernik_40       ;295.661;+21.145; 57.474; -1.114; 0.078;  62; -2.249; 0.119; -4.613; 0.165; 0.207; 0.088;NN            ; 7.40; 3.43;13.32;  4610;   2478;   3886;   -89;  7032;Cl Czernik 40                  ;295.6610;+21.1450
Czernik_41       ;297.754;+25.290; 62.024; -0.690; 0.083; 181; -2.932; 0.138; -6.164; 0.128; 0.369; 0.063;NN            ; 7.11; 4.11;12.03;  2543;   1193;   2246;   -30;  7491;Cl Czernik 41                  ;297.7540;+25.2900
Czernik_42       ;339.896;+59.908;107.097;  1.153; 0.027;  43; -3.383; 0.155; -2.527; 0.150; 0.182; 0.070;NN            ; 7.85; 3.35;13.23;  4422;  -1299;   4226;    88; 10525;Cl Czernik 42                  ;339.8960;+59.9080
Czernik_44       ;353.415;+61.954;113.927;  0.450; 0.058;  37; -2.377; 0.160; -0.878; 0.112; 0.184; 0.091;NN            ; 8.14; 2.53;13.22;  4399;  -1784;   4021;    34; 10893;Cl Czernik 44                  ;353.4150;+61.9540
Czernik_5        ;028.927;+61.355;130.557; -0.562; 0.036;  52; -2.020; 0.082;  0.476; 0.112; 0.229; 0.070;NN            ; 8.13; 3.22;13.09;  4146;  -2695;   3149;   -40; 11476;Cl Czernik 5                   ;028.9270;+61.3550
Czernik_6        ;030.543;+62.838;130.904;  1.066; 0.053;  20; -1.129; 0.077; -0.127; 0.093; 0.353; 0.046;NN            ; 7.45; 1.00;12.03;  2541;  -1663;   1920;    47; 10186;Cl Czernik 6                   ;030.5430;+62.8380
Czernik_8        ;038.240;+58.764;135.779; -1.553; 0.025;  34;  0.480; 0.094; -0.721; 0.138; 0.332; 0.042;NN            ; 8.37; 2.51;12.27;  2845;  -2038;   1983;   -77; 10566;Cl Czernik 8                   ;038.2400;+58.7640
Czernik_9        ;038.393;+59.883;135.423; -0.488; 0.037;  57; -0.912; 0.154;  0.272; 0.195; 0.300; 0.063;NN            ; 8.38; 3.01;12.60;  3304;  -2354;   2319;   -28; 10942;Cl Czernik 9                   ;038.3930;+59.8830
DB2001_22        ;310.645;+42.946; 82.570;  0.400; 0.032;  18; -2.714; 0.377; -4.644; 0.213; 0.268; 0.078;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[DB2001] Cl 22                 ;310.6450;+42.9460
DBSB_100         ;245.106;-50.902;332.843; -0.586; 0.029;  42; -2.940; 0.180; -3.622; 0.170; 0.148; 0.066;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[DBS2003] 100                  ;245.1060;-50.9020
DBSB_101         ;242.631;-49.014;332.999;  1.879; 0.064;  36; -1.822; 0.171; -2.193; 0.158; 0.520; 0.056;NN            ; 7.05; 3.07;11.36;  1871;   1666;   -849;    61;  6727;[DBS2003] 101                  ;242.6310;-49.0140
DBSB_104         ;255.997;-51.088;337.216; -5.866; 0.035;  20; -0.443; 0.201; -2.692; 0.228; 0.908; 0.141;NN            ; 7.43; 0.88;10.16;  1078;    989;   -415;  -110;  7362;[DBS2003] 104                  ;255.9970;-51.0880
DBSB_21          ;130.571;-40.737;260.796;  0.918; 0.016;  14; -5.998; 0.360;  4.440; 0.483; 0.613; 0.058;NN            ; 6.98; 3.26;10.99;  1574;   -251;  -1554;    25;  8731;[DBS2003] 21                   ;130.5710;-40.7370
DBSB_3           ;107.579;-18.434;231.468; -4.285; 0.033;  43; -1.937; 0.155;  2.696; 0.152; 0.281; 0.054;NN            ; 6.58; 1.57;12.55;  3238;  -2011;  -2526;  -241; 10655;[DBS2003] 3                    ;107.5790;-18.4340
DBSB_43          ;150.962;-59.232;282.927; -3.034; 0.022;  26; -5.056; 0.091;  3.142; 0.082; 0.187; 0.036;NN            ; 7.39; 2.33;13.45;  4907;   1096;  -4776;  -259;  8676;[DBS2003] 43                   ;150.9620;-59.2320
DBSB_6           ;112.493;-19.102;234.239; -0.486; 0.036;  15; -1.931; 0.100;  2.442; 0.095; 0.255; 0.040;NN            ; 7.50; 2.34;12.89;  3792;  -2216;  -3077;   -32; 10995;[DBS2003] 6                    ;112.4930;-19.1020
DBSB_60          ;166.385;-62.482;291.037; -2.081; 0.030;  26; -5.229; 0.372;  1.874; 0.222; 0.202; 0.105;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[DBS2003] 60                   ;166.3850;-62.4820
DBSB_7           ;113.855;-18.677;234.490;  0.848; 0.106;  34; -1.683; 0.119;  2.401; 0.089; 0.351; 0.092;NN            ; 8.44; 1.45;12.13;  2667;  -1549;  -2171;    39; 10124;[DBS2003] 7                    ;113.8550;-18.6770
DC_5             ;159.996;-59.192;286.795; -0.502; 0.031; 125; -5.356; 0.145;  2.396; 0.151; 0.198; 0.075;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[D2005c] DC5                   ;159.9960;-59.1920
DC_8             ;092.335;+31.228;180.576;  5.589; 0.019;  27;  0.775; 0.208; -1.309; 0.183; 0.223; 0.144;NN            ; 8.93; 2.51;13.31;  4591;  -4569;    -45;   447; 12909;[D2005c] DC8                   ;092.3350;+31.2280
Danks_1          ;198.121;-62.699;305.342;  0.074; 0.020;  57; -7.020; 0.137; -0.499; 0.197; 0.159; 0.134;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;Cl Danks 1                     ;198.1211;-62.6990
Danks_2          ;198.222;-62.681;305.390;  0.089; 0.013;  56; -7.016; 0.152; -0.336; 0.217; 0.129; 0.063;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;Cl Danks 2                     ;198.2221;-62.6810
Dias_1           ;010.630;+64.056;121.957;  1.201; 0.058;  49; -2.752; 0.088; -0.523; 0.085; 0.372; 0.036;NN            ; 7.48; 2.35;12.08;  2608;  -1380;   2213;    54;  9969;Cl Dias 1                      ;010.6300;+64.0560
Dias_2           ;092.291;+04.573;203.982; -7.259; 0.051;  44; -0.772; 0.172;  1.240; 0.175; 0.210; 0.097;NN            ; 9.24; 0.47;13.02;  4009;  -3634;  -1616;  -506; 12082;Cl Dias 2                      ;092.2910;+04.5730
Dias_5           ;274.385;-19.707; 11.614; -1.736; 0.078;  61;  1.798; 0.262; -0.945; 0.311; 0.744; 0.080;NN            ; 6.98; 0.94;10.58;  1303;   1276;    262;   -39;  7068;Cl Dias 5                      ;274.3850;-19.7070
Dias_6           ;277.617;-12.330; 19.588; -1.027; 0.049; 190;  0.482; 0.131; -0.591; 0.138; 0.331; 0.074;NN            ; 9.04; 1.85;12.01;  2524;   2377;    846;   -45;  6021;Cl Dias 6                      ;277.6170;-12.3300
Dolidze_11       ;306.682;+41.372; 79.551;  1.812; 0.026;  28; -1.255; 0.109; -4.260; 0.184; 0.490; 0.092;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;Cl Dolidze 11                  ;306.6820;+41.3720
Dolidze_16       ;078.623;+32.707;173.170; -3.499; 0.130;  48; -0.063; 0.152; -2.602; 0.180; 0.762; 0.084;NN            ; 7.22; 0.86;10.62;  1332;  -1321;    158;   -81;  9662;Cl Dolidze 16                  ;078.6230;+32.7070
Dolidze_3        ;303.803;+36.832; 74.545;  1.072; 0.094;  16; -2.875; 0.088; -5.613; 0.072; 0.496; 0.033;NN            ; 6.95; 2.10;11.60;  2086;    555;   2010;    39;  8039;Cl Dolidze 3                   ;303.8030;+36.8320
Dolidze_32       ;280.260;-04.054; 28.139;  0.460; 0.092;  17; -0.705; 0.103; -2.027; 0.065; 0.464; 0.044;NN            ; 8.01; 3.00;11.60;  2085;   1838;    983;    16;  6575;Cl Dolidze 32                  ;280.2600;-04.0540
Dolidze_5        ;305.025;+39.331; 77.154;  1.678; 0.086; 137; -1.929; 0.106; -5.384; 0.127; 0.443; 0.058;NN            ; 7.80; 2.13;11.51;  2001;    444;   1950;    58;  8132;Cl Dolidze 5                   ;305.0250;+39.3310
Dolidze_53       ;296.588;+24.613; 60.905; -0.121; 0.044;  30; -1.494; 0.153; -4.609; 0.131; 0.478; 0.039;NN            ; 6.84; 2.96;11.74;  2228;   1083;   1947;    -4;  7513;Cl Dolidze 53                  ;296.5880;+24.6130
Dolidze_8        ;306.129;+42.300; 80.072;  2.684; 0.083;  39; -2.633; 0.190; -5.910; 0.195; 0.993; 0.063;NN            ; 7.19; 2.22;10.11;  1053;    181;   1036;    49;  8224;Cl Dolidze 8                   ;306.1290;+42.3000
ESO_092_05       ;150.801;-64.755;286.184; -7.506; 0.043;  39; -2.919; 0.132;  2.397; 0.215; 0.061; 0.082;NN            ; 9.65; 0.17;15.47; 12444;   3438; -11848; -1625; 12822;ESO 092-05                     ;150.8010;-64.7550
ESO_092_18       ;153.730;-64.611;287.124; -6.658; 0.025;  54; -3.551; 0.128;  2.761; 0.100; 0.032; 0.064;NN            ; 9.46; 0.47;14.98;  9910;   2898;  -9407; -1149; 10867;ESO 092-18                     ;153.7300;-64.6110
ESO_130_06       ;181.970;-59.310;297.391;  3.092; 0.109;  71;-11.266; 0.148; -0.866; 0.127; 1.229; 0.039;NN            ; 8.15; 0.27; 9.54;   808;    371;   -716;    43;  8000;ESO 130-06                     ;181.9701;-59.3100
ESO_130_08       ;182.619;-59.479;297.745;  2.980; 0.101; 105; -5.952; 0.108; -0.875; 0.092; 0.721; 0.033;NN            ; 8.25; 0.75;10.64;  1342;    624;  -1186;    69;  7806;ESO 130-08                     ;182.6191;-59.4790
ESO_130_13       ;185.782;-59.644;299.357;  3.031; 0.088; 120; -4.422; 0.074; -0.417; 0.067; 0.386; 0.042;NN            ; 7.53; 1.38;11.92;  2420;   1184;  -2106;   127;  7458;ESO 130-13                     ;185.7820;-59.6440
ESO_134_12       ;221.220;-59.158;317.028;  0.574; 0.033;  51; -5.182; 0.141; -3.122; 0.137; 0.415; 0.049;NN            ; 8.18; 2.53;11.92;  2420;   1770;  -1649;    24;  6773;ESO 134-12                     ;221.2200;-59.1580
ESO_166_04       ;137.602;-53.884;273.886; -3.980; 0.068;  32; -5.983; 0.082;  5.675; 0.100; 0.866; 0.054;NN            ; 8.30; 0.32;10.19;  1090;     73;  -1085;   -75;  8337;ESO 166-04                     ;137.6020;-53.8840
ESO_211_03       ;132.897;-50.253;269.240; -3.770; 0.051; 121; -4.681; 0.199;  4.333; 0.232; 0.159; 0.098;NN            ; 9.11; 2.59;13.63;  5313;    -70;  -5301;  -349;  9941;ESO 211-03                     ;132.8970;-50.2530
ESO_211_09       ;139.186;-50.285;271.945; -0.795; 0.024;  27; -3.530; 0.222;  3.120; 0.295; 0.093; 0.108;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;ESO 211-09                     ;139.1860;-50.2850
ESO_226_06       ;246.040;-51.151;333.081; -1.178; 0.040;  19; -2.181; 0.124; -3.308; 0.061; 0.389; 0.058;NN            ; 7.51; 2.63;11.89;  2382;   2123;  -1078;   -48;  6309;ESO 226-06                     ;246.0400;-51.1510
ESO_311_21       ;120.415;-41.596;257.145; -5.852; 0.045;  56; -2.852; 0.151;  5.510; 0.197; 0.160; 0.049;NN            ; 9.41; 1.83;13.68;  5445;  -1205;  -5280;  -555; 10908;ESO 311-21                     ;120.4150;-41.5960
ESO_312_03       ;126.123;-41.287;259.239; -2.106; 0.049;  50; -3.780; 0.107;  4.457; 0.140; 0.228; 0.067;NN            ; 7.94; 2.08;13.15;  4268;   -796;  -4190;  -156; 10051;ESO 312-03                     ;126.1230;-41.2870
ESO_312_04       ;126.722;-41.251;259.470; -1.717; 0.016;  30; -2.915; 0.176;  3.917; 0.138; 0.150; 0.058;NN            ; 7.65; 2.06;13.84;  5859;  -1070;  -5758;  -175; 11032;ESO 312-04                     ;126.7220;-41.2510
ESO_313_03       ;127.907;-41.784;260.422; -1.311; 0.015;   3; -3.189; 0.228;  3.492; 0.183; 0.163; 0.069;notEnoughStars;     ;     ;     ;      ;       ;       ;      ;      ;ESO 313-03                     ;127.9070;-41.7840
ESO_368_11       ;116.086;-34.628;249.378; -5.252; 0.051; 107; -0.853; 0.112;  2.278; 0.140; 0.429; 0.042;NN            ; 8.77; 1.11;11.63;  2117;   -742;  -1973;  -193;  9294;ESO 368-11                     ;116.0860;-34.6280
ESO_368_14       ;116.751;-32.959;248.201; -3.944; 0.026;  25; -1.938; 0.167;  3.561; 0.145; 0.222; 0.062;NN            ; 7.97; 3.29;13.14;  4254;  -1576;  -3941;  -292; 10670;ESO 368-14                     ;116.7510;-32.9590
ESO_371_25       ;133.248;-35.476;258.009;  5.854; 0.023;  50; -2.429; 0.107;  1.749; 0.146; 0.134; 0.074;NN            ; 9.31; 1.20;13.83;  5832;  -1205;  -5675;   594; 11105;ESO 371-25                     ;133.2480;-35.4760
ESO_393_15       ;265.923;-34.203;355.293; -2.401; 0.091;   5;  0.748; 0.144; -0.489; 0.184; 0.315; 0.053;notEnoughStars;     ;     ;     ;      ;       ;       ;      ;      ;ESO 393-15                     ;265.9230;-34.2030
ESO_518_03       ;251.760;-25.810;355.062; 12.440; 0.095;  91;  2.757; 0.132; -2.665; 0.087; 0.566; 0.036;NN            ; 9.15; 0.91;11.06;  1631;   1587;   -137;   351;  6753;ESO 518-03                     ;251.7600;-25.8100
ESO_559_13       ;112.176;-20.807;235.594; -1.564; 0.025;  12; -1.402; 0.097;  1.721; 0.106; 0.400; 0.034;NN            ; 8.79; 0.87;11.83;  2318;  -1309;  -1912;   -63;  9837;ESO 559-13                     ;112.1760;-20.8070
ESO_589_26       ;270.560;-21.922;  7.947;  0.323; 0.031;  82; -0.216; 0.155; -2.695; 0.118; 0.336; 0.055;NN            ; 8.30; 3.15;12.13;  2666;   2640;    368;    15;  5711;ESO 589-26                     ;270.5600;-21.9220
FSR_0088         ;282.667;-04.158; 29.143; -1.723; 0.067; 176; -1.589; 0.165; -4.126; 0.131; 0.233; 0.085;NN            ; 8.22; 3.62;12.43;  3063;   2674;   1491;   -92;  5858;[FSR2007] 0088                 ;282.6670;-04.1580
FSR_0123         ;287.911;+12.037; 45.929;  1.057; 0.042; 126; -1.211; 0.126; -4.162; 0.125; 0.175; 0.060;NN            ; 9.01; 2.74;12.98;  3952;   2748;   2838;    72;  6271;[FSR2007] 0123                 ;287.9110;+12.0370
FSR_0133         ;292.448;+15.561; 51.111; -1.174; 0.072; 275; -2.370; 0.209; -4.576; 0.217; 0.099; 0.124;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[FSR2007] 0133                 ;292.4480;+15.5610
FSR_0154         ;297.009;+23.353; 60.010; -1.088; 0.046;  90; -1.601; 0.100; -4.133; 0.105; 0.211; 0.079;NN            ; 8.68; 3.52;12.78;  3594;   1796;   3112;   -68;  7246;[FSR2007] 0154                 ;297.0090;+23.3530
FSR_0158         ;296.990;+26.040; 62.320;  0.284; 0.018;  14; -2.748; 0.102; -5.432; 0.093; 0.139; 0.072;NN            ; 7.01; 4.39;13.94;  6131;   2848;   5429;    30;  7722;[FSR2007] 0158                 ;296.9900;+26.0400
FSR_0165         ;299.546;+26.761; 64.115; -1.310; 0.066;  60; -2.782; 0.134; -5.558; 0.142; 0.376; 0.060;NN            ; 7.19; 2.79;11.93;  2429;   1060;   2185;   -55;  7600;[FSR2007] 0165                 ;299.5460;+26.7610
FSR_0166         ;303.385;+25.430; 64.837; -4.934; 0.051;  43; -4.191; 0.093; -6.659; 0.153; 0.331; 0.056;NN            ; 9.45; 2.24;12.24;  2800;   1186;   2525;  -240;  7586;[FSR2007] 0166                 ;303.3850;+25.4300
FSR_0167         ;301.218;+27.057; 65.154; -2.420; 0.067;  19;  0.102; 0.133; -1.830; 0.096; 0.533; 0.042;NN            ; 8.89; 2.52;11.24;  1773;    744;   1607;   -74;  7763;[FSR2007] 0167                 ;301.2180;+27.0570
FSR_0172         ;300.004;+29.215; 66.417; -0.367; 0.023;  39; -2.540; 0.096; -5.959; 0.120; 0.307; 0.057;manual        ; 8.20; 4.10;12.64;  3372;   1349;   3091;   -21;  7643;[FSR2007] 0172                 ;300.0040;+29.2150
FSR_0195         ;304.229;+33.637; 72.087; -0.998; 0.033;  51; -2.828; 0.152; -4.397; 0.172; 0.267; 0.098;tooRed        ;     ;     ;     ;      ;       ;       ;      ;      ;[FSR2007] 0195                 ;304.2290;+33.6370
