Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,r50,nbstars07,pmRA*,pmDE,plx,Flag,AgeNN,AVNN,DMNN,DistPc,X,Y,Z,Rgc,SimbadName,_RA.icrs,_DE.icrs,E(B-V)
29,ASCC_73,189.281,-67.203,301.542,-4.37,0.988,57,-11.539,-2.945,1.518,NN,8.53,0.23,9.08,655.0,341.0,-556.0,-49.0,8017.0,[KPR2005]73,189.2811,-67.203,
30,ASCC_77,212.694,-62.331,311.999,-0.864,0.179,141,-4.243,-3.22,0.842,NN,7.91,0.64,10.28,1136.0,760.0,-844.0,-17.0,7626.0,[KPR2005]77,212.694,-62.331,
31,ASCC_79,229.731,-60.798,319.977,-2.905,0.98,113,-2.914,-4.232,1.176,NN,7.27,0.41,9.58,825.0,631.0,-529.0,-41.0,7727.0,[KPR2005]79,229.731,-60.798,
32,ASCC_85,251.853,-45.555,339.815,-0.259,0.357,105,0.17,-4.102,1.119,NN,7.85,0.56,9.59,829.0,778.0,-286.0,-3.0,7567.0,[KPR2005]85,251.853,-45.555,
33,ASCC_87,255.658,-28.421,355.125,8.093,0.347,45,-1.18,-3.814,1.27,NN,7.92,0.57,9.45,774.0,764.0,-65.0,109.0,7575.0,[KPR2005]87,255.658,-28.421,0.265
34,ASCC_88,256.886,-35.564,350.01,2.973,0.372,121,0.919,-3.282,1.097,NN,8.39,1.45,9.85,931.0,916.0,-161.0,48.0,7425.0,[KPR2005]88,256.886,-35.564,
35,ASCC_9,41.671,57.743,137.844,-1.753,0.215,48,0.166,-1.099,0.406,NN,7.47,2.23,11.88,2376.0,-1760.0,1594.0,-72.0,10225.0,[KPR2005]9,41.671,57.743,0.71016926
36,ASCC_90,264.777,-34.874,354.224,-1.954,0.388,58,-1.63,-2.681,1.713,NN,8.91,0.32,8.73,557.0,554.0,-56.0,-19.0,7785.0,[KPR2005]90,264.777,-34.874,
37,ASCC_97,279.263,-19.139,14.25,-5.553,0.14,20,-2.331,-6.508,1.74,manual,8.05,1.17,8.89,598.0,577.0,146.0,-57.0,7763.0,[KPR2005]97,279.263,-19.139,0.38102072
38,ASCC_99,282.17,-18.488,16.07,-7.727,0.643,63,5.188,-1.311,3.367,NN,8.55,0.47,7.28,285.0,271.0,78.0,-38.0,8068.0,[KPR2005]99,282.17,-18.488,0.145
39,Alessi_1,13.343,49.536,123.255,-13.335,0.249,45,6.536,-6.245,1.39,NN,9.16,0.08,9.19,689.0,-367.0,561.0,-159.0,8726.0,ClAlessi1,13.343,49.536,0.125
40,Alessi_10,301.233,-10.555,31.597,-21.058,0.266,70,1.469,-7.879,2.233,NN,7.96,0.33,8.36,469.0,373.0,229.0,-168.0,7969.0,ClAlessi10,301.233,-10.555,0.16499999
41,Alessi_12,310.875,23.871,67.488,-11.405,0.682,307,4.303,-4.639,1.816,NN,8.13,0.1,8.68,544.0,204.0,493.0,-107.0,8150.0,ClAlessi12,310.875,23.871,0.052119777
42,Alessi_13,51.762,-35.821,237.532,-55.941,1.361,48,36.332,-4.709,9.584,manual,7.55,0.1,5.11,105.0,-31.0,-49.0,-87.0,8371.0,ClAlessi13,51.7618,-35.821,
43,Alessi_15,100.767,1.672,210.49,-1.099,0.008,17,-0.182,0.469,0.093,NN,7.53,2.18,14.01,6338.0,-5461.0,-3215.0,-121.0,14170.0,ClAlessi15,100.767,1.672,0.7607809
44,Alessi_17,113.853,-15.098,231.359,2.585,0.022,15,-1.526,1.557,0.264,notEnoughStars,,,,,,,,,ClAlessi17,113.853,-15.098,0.475
45,Alessi_18,114.295,-26.386,241.421,-2.555,0.019,24,-1.261,1.79,0.126,NN,6.71,2.48,14.29,7199.0,-3440.0,-6315.0,-320.0,13366.0,ClAlessi18,114.295,-26.386,0.735
46,Alessi_19,274.741,12.311,40.403,12.71,0.595,60,-1.005,-7.073,1.71,NN,7.41,0.31,8.79,573.0,425.0,362.0,126.0,7922.0,ClAlessi19,274.741,12.311,0.13163093
47,Alessi_2,71.602,55.199,152.333,6.365,0.554,159,-0.904,-1.046,1.589,NN,8.55,0.52,9.09,657.0,-578.0,303.0,72.0,8923.0,ClAlessi2,71.602,55.199,0.27202612
48,Alessi_20,2.593,58.742,117.615,-3.705,0.235,119,8.195,-2.341,2.311,NN,6.97,0.6,8.08,412.0,-190.0,364.0,-26.0,8538.0,ClAlessi20,2.5929,58.742,0.35999998
49,Alessi_21,107.69,-9.363,223.457,-0.014,0.467,113,-5.475,2.602,1.72,NN,7.82,0.29,8.85,587.0,-426.0,-404.0,0.0,8776.0,ClAlessi21,107.69,-9.363,0.11
50,Alessi_24,260.764,-62.693,328.984,-14.572,0.466,156,-0.488,-8.999,2.059,NN,7.86,0.34,8.5,502.0,416.0,-250.0,-126.0,7927.0,ClAlessi24,260.764,-62.693,
51,Alessi_3,109.275,-46.142,257.449,-15.064,1.541,164,-9.875,11.958,3.566,NN,8.8,0.14,7.37,297.0,-62.0,-280.0,-77.0,8407.0,ClAlessi3,109.2751,-46.1421,
52,Alessi_31,267.698,-11.853,15.339,7.709,0.331,165,-1.164,-4.122,1.477,NN,8.38,1.75,9.26,712.0,680.0,186.0,95.0,7661.0,ClAlessi31,267.698,-11.853,0.58549595
53,Alessi_37,341.961,46.342,101.732,-11.38,0.423,133,0.351,-1.569,1.384,NN,8.14,0.47,9.21,695.0,-138.0,667.0,-137.0,8504.0,ClAlessi37,341.961,46.342,0.19
54,Alessi_43,132.631,-41.738,262.546,1.501,0.29,284,-5.546,3.869,1.032,NN,7.06,0.99,9.81,917.0,-119.0,-909.0,24.0,8507.0,ClAlessi43,132.631,-41.738,
55,Alessi_44,295.325,1.592,40.121,-10.332,1.296,175,0.463,-2.325,1.496,manual,8.35,0.71,9.16,679.0,511.0,430.0,-121.0,7840.0,ClAlessi44,295.325,1.592,0.37137395
56,Alessi_5,160.819,-61.081,288.058,-1.966,0.542,297,-15.411,2.503,2.501,NN,7.83,0.62,8.14,424.0,131.0,-402.0,-14.0,8218.0,ClAlessi5,160.8191,-61.081,
57,Alessi_53,97.352,9.18,202.259,-0.664,0.022,27,0.431,-0.201,0.198,NN,7.88,1.93,13.79,5736.0,-5308.0,-2172.0,-66.0,13820.0,ClAlessi53,97.352,9.18,0.64016545
58,Alessi_59,103.078,2.196,211.077,1.195,0.006,10,-0.54,0.283,0.227,notEnoughStars,,,,,,,,,ClAlessi59,103.078,2.196,0.87
