RA_ICRS;DE_ICRS;GaiaDR2;GLON;GLAT;Plx;e_Plx;pmRA*;e_pmRA*;pmDE;e_pmDE;RV;e_RV;RADEcor;RAPlxcor;RApmRAcor;RApmDEcor;DEPlxcor;DEpmRAcor;DEpmDEcor;PlxpmRAcor;PlxpmDEcor;pmRApmDEcor;o_Gmag;Gmag;BP-RP;proba;Cluster;Teff50;Simbad;_RA.icrs;_DE.icrs
135.05479367580;-43.45128887702;5331932453217842560; 2.65007448846531815e+02; 1.756210513531186956e+00; 1.05729404685906836e+00; 0.034309786167076695;-5.576319908908679679e+00; 0.057606649867319247; 5.402145518787459189e+00; 0.062737246594145632;                        ;                     ;  0.06233596800; -0.19075176000; -0.33316540000;  0.06045655000;  0.14849590000;  0.09650715400; -0.43213970000; 1.766984200e-01;-1.999057600e-02; 1.160070450e-01; 230;10.7837290; 4.985904700e-01; 0.90000;BH_56            ;11528.27300000;Simbad;135.05482674813;-43.45131213626
134.40416066881;-43.67140955743;5331997496198857472; 2.64865260348763002e+02; 1.255676815974495097e+00; 1.13694374960215860e+00; 0.037632938000722038;-5.369696781655215467e+00; 0.069261594841549493; 5.356963620505370116e+00; 0.060218032874680208;                        ;                     ;  0.17100914000;  0.11482325000; -0.52330124000; -0.10742945000;  0.43320036000; -0.10367486000; -0.22373988000;-6.129484600e-02;-7.446658600e-02; 1.772811900e-01; 270;15.7730990; 1.260360700e+00; 0.90000;BH_56            ; 5219.01270000;Simbad;134.40419263225;-43.67143262213
134.28066841475;-43.51411037604;5332014362532004736; 2.64687583921126532e+02; 1.290162471113197817e+00; 1.05897012815689839e+00; 0.027860840432238194;-5.418581311760797270e+00; 0.046149634527359512; 5.562900405578082186e+00; 0.042589095072766314;                        ;                     ; -0.00945065400; -0.12179791000; -0.03677124000;  0.06483616000;  0.34759086000;  0.13545485000; -0.20463558000; 2.044102400e-01;-1.862870700e-02; 3.089361300e-02; 280;10.6299370; 3.974208800e-01; 0.90000;BH_56            ; 7680.45460000;Simbad;134.28070058498;-43.51413432742
134.91965273867;-43.39123004404;5332028351243878528; 2.64897640536468657e+02; 1.721644586006974009e+00; 1.11780211090499559e+00; 0.031951638433835396;-5.603568340740590514e+00; 0.057644388807508676; 5.183136172617297532e+00; 0.060296048814360348;                        ;                     ;  0.00821378900; -0.07009315500; -0.35907063000;  0.07060322000;  0.30759287000;  0.08535512000; -0.50250006000; 5.611549000e-02;-1.690888900e-01; 1.537828900e-01; 246;15.3198240; 1.596180000e+00; 0.80000;BH_56            ; 5919.27300000;Simbad;134.91968593965;-43.39125236031
134.86139630559;-43.33475225491;5332031684138632320; 2.64827196925495798e+02; 1.726718891593561400e+00; 1.08540144530867089e+00; 0.019742535082015424;-5.325772462143102182e+00; 0.039207407672290140; 5.539702174158261272e+00; 0.032545832546826844;                        ;                     ;  0.25215828000; -0.14407533000; -0.52458640000; -0.21576980000;  0.22071886000; -0.17729464000; -0.49413530000; 1.486254000e-01;-7.932158600e-02; 3.719476200e-01; 217;13.1614650; 8.737478000e-01; 0.90000;BH_56            ; 6460.41900000;Simbad;134.86142783128;-43.33477610640
134.58574921927;-43.37879750022;5332036494498758272; 2.64729314224921950e+02; 1.546343386040567758e+00; 1.11278482905729925e+00; 0.101750323031403536;-5.484793862996087732e+00; 0.182241020942450677; 5.121651328089081190e+00; 0.156269873517290186;                        ;                     ;  0.09261443500; -0.04365815200; -0.08497748500;  0.18157707000;  0.25286895000;  0.25309157000; -0.13918032000; 2.223213000e-01;-8.037214000e-02; 1.215847000e-01; 297;17.6067520; 2.330808600e+00; 0.70000;BH_56            ; 5164.98200000;Simbad;134.58578170985;-43.37881955177
134.58567806814;-43.37948484106;5332036494501572992; 2.64729801132429373e+02; 1.545855323050432384e+00; 1.13295330360839519e+00; 0.023581966537644182;-5.481457160715614840e+00; 0.041515513945881641; 5.129418592777241770e+00; 0.036417943291805241;                        ;                     ;  0.10254587000; -0.04172986700; -0.08216925000;  0.14880103000;  0.26414200000;  0.20928036000; -0.15929640000; 1.818279300e-01;-5.481675300e-02; 1.247497050e-01; 296;14.9010830; 1.512172700e+00; 0.80000;BH_56            ; 5183.84770000;Simbad;134.58571053932;-43.37950692605
134.42651238492;-43.27924431414;5332041407944470528; 2.64578243373146904e+02; 1.523494877183329432e+00; 1.11787848485938501e+00; 0.023853362073643074;-5.539979330993732631e+00; 0.040869574752253737; 5.242183746770560759e+00; 0.039404717427880501;                        ;                     ;  0.07255715000; -0.10892735400; -0.29136583000;  0.05718891000;  0.28928927000;  0.10454610000; -0.26848042000; 1.177028940e-01;-9.213612000e-02; 1.733929000e-01; 248;14.6294790; 1.335508300e+00; 0.80000;BH_56            ; 5419.77200000;Simbad;134.42654514866;-43.27926688464
134.45399044115;-43.21454786367;5332042022123062144; 2.64542204659642891e+02; 1.580839488835192652e+00; 1.03848729931853700e+00; 0.041679984521804742;-5.410023098514493256e+00; 0.072930373396175738; 5.526892527802620414e+00; 0.067560370095639116;                        ;                     ;  0.11106087000; -0.15078199000; -0.38456145000;  0.02043061000;  0.24835768000;  0.07108760000; -0.10892331000; 2.108047900e-01;-1.862350300e-01; 1.726379700e-01; 273;16.1385750; 1.235441200e+00; 0.80000;BH_56            ;              ;Simbad;134.45402240236;-43.21457166001
134.45237895978;-43.22311605394;5332042026419442688; 2.64547939172914994e+02; 1.574363897702744985e+00; 1.03917173896385795e+00; 0.067218150546721520;-5.503305041858517654e+00; 0.104873733378107625; 5.256969911792570116e+00; 0.097844639516294976;                        ;                     ;  0.04960828300; -0.16397363000; -0.37229243000;  0.10467404000;  0.32988910000;  0.19821218000; -0.12505923000; 3.351583500e-01;-1.096985800e-01; 5.408093700e-02; 267;16.9249880; 2.216542200e+00; 0.80000;BH_56            ; 5233.51370000;Simbad;134.45241147665;-43.22313868811
134.74778877401;-43.28133084904;5332044294162130816; 2.64732635728531079e+02; 1.699254998555830287e+00; 1.12643287683110715e+00; 0.026923577128686895;-5.393875087447327132e+00; 0.045250668729784504; 5.151870247770153455e+00; 0.050162627731152078;                        ;                     ; -0.10808003000; -0.17245185000; -0.29533830000;  0.20758572000;  0.07694441000;  0.21446837000; -0.36021522000; 8.538634000e-02;-1.236480900e-01;-2.410768300e-02; 263;12.4402510; 4.383039500e-01; 0.90000;BH_56            ; 7748.27900000;Simbad;134.74782067478;-43.28135303070
134.66417091377;-43.23438413543;5332045428033502208; 2.64657257783104228e+02; 1.683907373610683544e+00; 1.00687007293641484e+00; 0.088262461435460154;-5.464603064367320684e+00; 0.144812943023792551; 5.236209657678287499e+00; 0.148648478280437840;                        ;                     ; -0.05496766800; -0.21372743000; -0.13752222000;  0.19592500000;  0.17332205000;  0.22478513000; -0.10536263000; 1.043856800e-01;-6.413156000e-02;-1.146755300e-02; 243;17.2949490; 2.827749300e+00; 0.90000;BH_56            ;              ;Simbad;134.66420320793;-43.23440668022
134.55643613912;-43.25039574832;5332046664984109312; 2.64618093685339261e+02; 1.614028674570595845e+00; 1.18008877957738645e+00; 0.064567586347057310;-5.689731708532329790e+00; 0.108410640554317483; 5.275179454633232012e+00; 0.105462893718800119;                        ;                     ;  0.01359073600; -0.00883131400; -0.08104285000;  0.23971680000;  0.25720116000;  0.31152493000; -0.19173555000; 2.366570700e-01;-8.909925000e-02; 7.625762400e-02; 251;16.8628880; 2.010927200e+00; 0.80000;BH_56            ; 5064.52640000;Simbad;134.55646977256;-43.25041846089
134.60022983673;-43.19319660356;5332047416601869696; 2.64595602137969081e+02; 1.675548730955686683e+00; 1.01773950043391204e+00; 0.031612295872477970;-5.321950282988296088e+00; 0.049534257453055418; 5.495138117977754533e+00; 0.048455132651851716;                        ;                     ; -0.05262495000; -0.16192612000; -0.39807042000;  0.09045455600;  0.22497629000;  0.15544145000; -0.33793643000; 3.225904000e-01;-4.770755800e-02; 2.088859300e-02; 263;11.5808830; 2.467155500e-01; 0.90000;BH_56            ; 7835.57570000;Simbad;134.60026126663;-43.19322026318
134.48499584479;-43.22955609808;5332047622760407808; 2.64568325146673715e+02; 1.588185816359731994e+00; 1.13388158171005848e+00; 0.036013559979184519;-5.702562364924195215e+00; 0.057730610718454090; 5.377090379225888839e+00; 0.055100823816675207;                        ;                     ; -0.02290460000; -0.17092213000; -0.35348216000;  0.07362928000;  0.31312975000;  0.15452397000; -0.18072039000; 2.598319000e-01;-1.415535600e-02; 1.442393500e-02; 292;15.8264050; 1.483426100e+00; 1.00000;BH_56            ; 5505.33840000;Simbad;134.48502954255;-43.22957924943
134.53162509029;-43.20305103337;5332047730135993728; 2.64570404892801321e+02; 1.631232122739125545e+00; 1.06852609679515020e+00; 0.039127722257475434;-5.635095114829305807e+00; 0.064609840518327050; 5.228681426517071351e+00; 0.059609270409876472;                        ;                     ; -0.01170699500; -0.16080594000; -0.34839050000;  0.10994249600;  0.26160935000;  0.18633743000; -0.22322656000; 3.004466000e-01;-8.710386600e-02; 3.914429600e-02; 304;15.9706330; 2.113283200e+00; 1.00000;BH_56            ; 5039.11960000;Simbad;134.53165837490;-43.20307354575
134.53544207822;-43.14853458239;5332048417330747776; 2.64530895782950665e+02; 1.668916552893643823e+00; 1.01802382807738434e+00; 0.065896327860597112;-5.428873685863615961e+00; 0.107014789128970333; 5.332215932003453673e+00; 0.098543754987765450;                        ;                     ; -0.04727881800; -0.15530911000; -0.19235708000;  0.12286651000;  0.29185980000;  0.20418319000; -0.21903299000; 3.179074000e-01;-9.938181000e-02; 6.803412000e-02; 275;16.9532500; 1.917636900e+00; 0.70000;BH_56            ; 5018.33400000;Simbad;134.53547411613;-43.14855754054
134.52862659094;-43.14333318737;5332048486050224896; 2.64523706485772152e+02; 1.668542573649972161e+00; 1.12557046481176148e+00; 0.042373131749638242;-5.432843356684482927e+00; 0.061844609277609097; 5.295647540523241048e+00; 0.056608906301161437;                        ;                     ;  0.01613009200; -0.08035193000; -0.27720016000;  0.03519709800;  0.41668060000;  0.20675883000; -0.28069180000; 4.172836200e-01;-1.292029000e-01; 8.389453000e-02; 272;15.9933150; 1.831939700e+00; 1.00000;BH_56            ;              ;Simbad;134.52865864956;-43.14335598807
134.52651374624;-43.14387761474;5332048486050225024; 2.64523112898190789e+02; 1.667019108292718821e+00; 1.02136432635870356e+00; 0.057593088819382618;-5.496599980551649445e+00; 0.089240197283638814; 5.264776457636964224e+00; 0.085948513086820444;                        ;                     ; -0.02331198000; -0.04428222800; -0.26587410000;  0.05442373500;  0.35189685000;  0.18079388000; -0.20864733000; 3.201844000e-01;-1.677191300e-01; 7.568879400e-02; 271;16.6804800; 2.147516300e+00; 0.70000;BH_56            ;              ;Simbad;134.52654618136;-43.14390028253
133.91126944824;-43.68219738972;5332052536201336448; 2.64641994752922528e+02; 9.775277257928141061e-01; 1.07787414604153797e+00; 0.026900666587194234;-5.720026155544020163e+00; 0.044638823777130680; 5.466761028180041393e+00; 0.041566192378613982;  18.6725060710906269890;  3.03850766246050075; -0.09479392000; -0.07411540000; -0.35463148000;  0.10668867000;  0.28552958000;  0.18598413000; -0.39087680000; 3.121910400e-01;-1.071440600e-02;-1.415604100e-02; 273;12.5079240; 9.740438500e-01; 1.00000;BH_56            ;              ;Simbad;133.91130350316;-43.68222092716
134.18842652372;-43.43091329064;5332062298665217536; 2.64580820715615801e+02; 1.293352133769193113e+00; 1.06057747891146192e+00; 0.024827264591779072;-5.665073280686817370e+00; 0.042391320621511144; 5.270100260841579676e+00; 0.039049082506665271;                        ;                     ; -0.04298743600; -0.15879846000;  0.00559330170;  0.08323862000;  0.30248627000;  0.10934609000; -0.23841299000; 1.230568400e-01;-6.410076000e-02; 2.011918800e-02; 288;12.4971895; 5.001507000e-01; 0.90000;BH_56            ; 7396.20200000;Simbad;134.18846011112;-43.43093598135
134.04932045340;-43.36522515687;5332065116163786752; 2.64465229988041585e+02; 1.259054557125047324e+00; 1.05752490519440201e+00; 0.028433740712166620;-5.470118583191259987e+00; 0.047882007020538526; 5.344217071239006245e+00; 0.047010368784864420;                        ;                     ;  0.08709897000; -0.18065830000; -0.23477945000; -0.02673407800;  0.31770238000;  0.01097877100; -0.29125383000; 1.375287500e-01;-4.559388000e-02; 1.716775400e-01; 243;11.9750760; 4.069795600e-01; 1.00000;BH_56            ; 8026.61040000;Simbad;134.04935284980;-43.36524816669
