Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,8.1,0.0900000036,1.0816895926,0.09,-2.83,3.3991,4.771,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.58e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.846,13.892,16.676,12.415
0.0152,0.01508,8.1,0.0900000036,1.0816895926,0.09,-2.83,3.3991,4.771,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.58e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.846,13.892,16.676,12.415
0.0152,0.01508,8.1,0.0963810831,1.1401449494,0.096,-2.777,3.4068,4.778,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.79e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.713,13.759,16.545,12.282
0.0152,0.01508,8.1,0.1000000015,1.1711064122,0.1,-2.747,3.4113,4.782,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.93e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.636,13.683,16.47,12.205
0.0152,0.01508,8.1,0.1056087613,1.2163203745,0.106,-2.706,3.4168,4.787,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.11e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.536,13.569,16.339,12.094
0.0152,0.01508,8.1,0.1160525456,1.2927287028,0.116,-2.633,3.4271,4.796,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.47e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.353,13.256,15.86,11.811
0.0152,0.01508,8.1,0.1200000122,1.3193155232,0.12,-2.606,3.4311,4.799,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.63e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.284,13.131,15.662,11.699
0.0152,0.01508,8.1,0.1303323805,1.3838356819,0.13,-2.548,3.438,4.805,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.95e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.14,12.898,15.321,11.486
0.0152,0.01508,8.1,0.1400000006,1.4384526719,0.14,-2.497,3.4441,4.81,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.26e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,11.013,12.691,15.019,11.299
0.0152,0.01508,8.1,0.1599999964,1.5372931554,0.16,-2.402,3.4553,4.817,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-4.92e-16,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.775,12.313,14.464,10.956
