Zini,MH,logAge,Mini,int_IMF,Mass,LogL,LogTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag
0.0152,0.01508,7.4,0.0900000036,1.0816895926,0.09,-2.335,3.4026,4.29,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.607,12.643,15.291,11.18
0.0152,0.01508,7.4,0.0900000036,1.0816895926,0.09,-2.335,3.4026,4.29,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.41e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.607,12.643,15.291,11.18
0.0152,0.01508,7.4,0.0930549279,1.1103250157,0.093,-2.314,3.405,4.292,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.45e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.554,12.59,15.239,11.128
0.0152,0.01508,7.4,0.1000000015,1.1711064122,0.1,-2.265,3.4103,4.296,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.55e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.432,12.468,15.118,11.006
0.0152,0.01508,7.4,0.1072141603,1.2286903859,0.107,-2.22,3.4152,4.301,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.66e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.32,12.355,15.004,10.892
0.0152,0.01508,7.4,0.1200000122,1.3193155232,0.12,-2.144,3.4234,4.306,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-1.85e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,10.129,12.08,14.629,10.636
0.0152,0.01508,7.4,0.1400000006,1.4384526719,0.14,-2.04,3.4348,4.315,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.16e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.871,11.664,14.031,10.256
0.0152,0.01508,7.4,0.1618343592,1.5455491396,0.162,-1.946,3.4456,4.327,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.46e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.634,11.291,13.504,9.915
0.0152,0.01508,7.4,0.1869785488,1.6477355977,0.187,-1.851,3.4558,4.335,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-2.82e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.397,10.928,12.995,9.584
0.0152,0.01508,7.4,0.2161550522,1.7459747594,0.216,-1.758,3.4658,4.346,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1.0,-3.19e-15,0.0,0.7092,0.2755,0.002746,0.0007408,0.006719,-1.0,0.01527,9.164,10.582,12.517,9.268
